name,abbrv,color,coauthored
Daniela Marghitu,D. Marghitu,#d3d3d3,0
Xiao Qin,X. Qin,#d3d3d3,1
Sanjeev Baskiyar,S. Baskiyar,#d3d3d3,1
Wei-Shinn Ku,W. Ku,#00bfff,1
Kai-Hsiung Chang,K. Chang,#d3d3d3,1
Alvin Lim,A. Lim,#d3d3d3,1
Levent Yilmaz,L. Yilmaz,#d3d3d3,1
Cheryl Seals,C. Seals,#d3d3d3,0
Richard Chapman,R. Chapman,#d3d3d3,0
David Umphress,D. Umphress,#d3d3d3,1
T. Hendrix,T. Hendrix,#d3d3d3,1
James Cross,J. Cross,#d3d3d3,1
Saad Biaz,S. Biaz,#00bfff,0
Jeffrey Overbey,J. Overbey,#00bfff,0
Anthony Skjellum,A. Skjellum,#d3d3d3,0
N. Narayanan,N. Narayanan,#d3d3d3,0
