name,abbrv,color,coauthored
Shriram Krishnamurthi,S. Krishnamurthi,#32CD32,1
Rodrigo Fonseca,R. Fonseca,#00bfff,1
Steven Reiss,S. Reiss,#00bfff,1
Ugur Çetintemel,U. Çetintemel,#00bfff,1
Stanley Zdonik,S. Zdonik,#00bfff,1
Tim Kraska,T. Kraska,#00bfff,1
Eli Upfal,E. Upfal,#32CD32,1
Anna Lysyanskaya,A. Lysyanskaya,#00bfff,1
Roberto Tamassia,R. Tamassia,#00bfff,1
John Savage,J. Savage,#00bfff,0
Franco Preparata,F. Preparata,#d3d3d3,1
Maurice Herlihy,M. Herlihy,#ffff00,0
Philip Klein,P. Klein,#ffff00,0
George Konidaris,G. Konidaris,#32CD32,0
Stefanie Tellex,S. Tellex,#ffc0cb,1
Michael Littman,M. Littman,#32CD32,1
Seny Kamara,S. Kamara,#00bfff,0
David Laidlaw,D. Laidlaw,#ffc0cb,1
John Hughes,J. Hughes,#ffc0cb,1
Benjamin Raphael,B. Raphael,#ffc0cb,1
Paul Valiant,P. Valiant,#ffff00,0
Vasileios Kemerlis,V. Kemerlis,#00bfff,0
Amy Greenwald,A. Greenwald,#32CD32,1
Eugene Charniak,E. Charniak,#32CD32,0
Pedro Felzenszwalb,P. Felzenszwalb,#32CD32,0
Jeff Huang,J. Huang,#32CD32,0
Theophilus Benson,T. Benson,#00bfff,0
Sorin Istrail,S. Istrail,#ffc0cb,0
Andries van Dam,A. van Dam,#d3d3d3,0
