name,abbrv,color,coauthored
David Mould,D. Mould,#d3d3d3,1
Anil Somayaji,A. Somayaji,#00bfff,1
Robert Biddle,R. Biddle,#00bfff,1
Sonia Chiasson,S. Chiasson,#00bfff,1
Paul van Oorschot,P. van Oorschot,#00bfff,1
B. Oommen,B. Oommen,#00bfff,1
Doron Nussbaum,D. Nussbaum,#d3d3d3,1
Evangelos Kranakis,E. Kranakis,#d3d3d3,1
Michel Barbeau,M. Barbeau,#d3d3d3,1
Anil Maheshwari,A. Maheshwari,#ffff00,1
Michiel Smid,M. Smid,#d3d3d3,1
Prosenjit Bose,P. Bose,#ffff00,1
Pat Morin,P. Morin,#ffff00,1
Oliver van Kaick,O. van Kaick,#d3d3d3,0
Tony White,T. White,#32CD32,0
Frank Dehne,F. Dehne,#00bfff,1
Yuhong Guo,Y. Guo,#32CD32,0
Nicola Santoro,N. Santoro,#d3d3d3,1
Mark Lanthier,M. Lanthier,#d3d3d3,1
Jörg-Rüdiger Sack,J. Sack,#d3d3d3,1
Jean-Pierre Corriveau,J. Corriveau,#d3d3d3,1
Mengchi Liu,M. Liu,#d3d3d3,0
Leopoldo Bertossi,L. Bertossi,#d3d3d3,0
Douglas Howe,D. Howe,#d3d3d3,0
Dwight Deugo,D. Deugo,#d3d3d3,0
