name,abbrv,color,coauthored
Illah Nourbakhsh,I. Nourbakhsh,#32CD32,1
Jessica Hodgins,J. Hodgins,#ffc0cb,1
Jodi Forlizzi,J. Forlizzi,#ffc0cb,1
Mahadev Satyanarayanan,M. Satyanarayanan,#00bfff,1
James Herbsleb,J. Herbsleb,#00bfff,1
David O'Hallaron,D. O'Hallaron,#00bfff,1
David Garlan,D. Garlan,#00bfff,1
Jason Hong,J. Hong,#ffc0cb,1
Daniel Siewiorek,D. Siewiorek,#ffc0cb,1
David Andersen,D. Andersen,#00bfff,1
Mary Shaw,M. Shaw,#00bfff,1
Hartmut Geyer,H. Geyer,#ffc0cb,1
Yaser Sheikh,Y. Sheikh,#32CD32,1
Takeo Kanade,T. Kanade,#32CD32,1
Srinivasa Narasimhan,S. Narasimhan,#32CD32,1
Martial Hebert,M. Hebert,#32CD32,1
J. Bagnell,J. Bagnell,#ffc0cb,1
Louis-Philippe Morency,L. Morency,#32CD32,1
Eric Xing,E. Xing,#32CD32,1
Ruslan Salakhutdinov,R. Salakhutdinov,#32CD32,1
Chris Dyer,C. Dyer,#32CD32,1
William Cohen,W. Cohen,#32CD32,1
Barnabás Póczos,B. Póczos,#32CD32,1
Christopher Langmead,C. Langmead,#ffc0cb,1
Seyoung Kim,S. Kim,#32CD32,1
Garth Gibson,G. Gibson,#00bfff,1
Phillip Gibbons,P. Gibbons,#00bfff,1
Carolyn Rosé,C. Rosé,#32CD32,1
Christos Faloutsos,C. Faloutsos,#32CD32,1
Aniket Kittur,A. Kittur,#ffc0cb,1
Jaime Carbonell,J. Carbonell,#32CD32,1
Tom Mitchell,T. Mitchell,#32CD32,1
Nancy Pollard,N. Pollard,#ffc0cb,1
Edmund Clarke,E. Clarke,#ffff00,1
André Platzer,A. Platzer,#ffff00,1
Justine Cassell,J. Cassell,#ffc0cb,1
Alan Black,A. Black,#32CD32,1
Amy Ogan,A. Ogan,#ffc0cb,1
Stephen Brookes,S. Brookes,#00bfff,0
Brad Myers,B. Myers,#ffc0cb,1
Geoffrey Gordon,G. Gordon,#32CD32,1
John Zimmerman,J. Zimmerman,#ffc0cb,1
Vincent Aleven,V. Aleven,#ffc0cb,1
Jonathan Aldrich,J. Aldrich,#00bfff,1
Kenneth Koedinger,K. Koedinger,#ffc0cb,1
Bhiksha Ramakrishnan,B. Ramakrishnan,#d3d3d3,0
Roger Dannenberg,R. Dannenberg,#d3d3d3,1
Anind Dey,A. Dey,#ffc0cb,1
Norman Sadeh,N. Sadeh,#ffc0cb,1
Jennifer Mankoff,J. Mankoff,#ffc0cb,1
Sara Kiesler,S. Kiesler,#ffc0cb,1
Graham Neubig,G. Neubig,#32CD32,1
Eric Nyberg,E. Nyberg,#32CD32,1
Kemal Oflazer,K. Oflazer,#32CD32,1
Carl Kingsford,C. Kingsford,#ffc0cb,0
Steven Rudich,S. Rudich,#d3d3d3,0
Gary Miller,G. Miller,#ffff00,1
Guy Blelloch,G. Blelloch,#00bfff,1
Anupam Gupta,A. Gupta,#ffff00,1
Umut Acar,U. Acar,#00bfff,1
Jessica Hammer,J. Hammer,#d3d3d3,1
Geoff Kaufman,G. Kaufman,#ffc0cb,1
Todd Mowry,T. Mowry,#00bfff,1
Ronald Rosenfeld,R. Rosenfeld,#ffc0cb,1
Peter Steenkiste,P. Steenkiste,#00bfff,1
Venkatesan Guruswami,V. Guruswami,#ffff00,1
Ziv Bar-Joseph,Z. Bar-Joseph,#ffc0cb,1
Alonzo Kelly,A. Kelly,#ffc0cb,1
William Whittaker,W. Whittaker,#ffc0cb,1
Matthew Mason,M. Mason,#ffc0cb,1
Christopher Atkeson,C. Atkeson,#ffc0cb,1
Emma Brunskill,E. Brunskill,#32CD32,1
John Stamper,J. Stamper,#d3d3d3,1
Chinmay Kulkarni,C. Kulkarni,#32CD32,1
Jeffrey Bigham,J. Bigham,#ffc0cb,1
Maria-Florina Balcan,M. Balcan,#ffff00,1
Avrim Blum,A. Blum,#ffff00,1
Tuomas Sandholm,T. Sandholm,#32CD32,1
Ariel Procaccia,A. Procaccia,#32CD32,1
Aarti Singh,A. Singh,#32CD32,1
Anupam Datta,A. Datta,#00bfff,1
Bernhard Haeupler,B. Haeupler,#ffff00,1
Manuela Veloso,M. Veloso,#ffc0cb,1
Srinivasan Seshan,S. Seshan,#00bfff,1
Randal Bryant,R. Bryant,#00bfff,1
Howie Choset,H. Choset,#ffc0cb,1
Vipul Goyal,V. Goyal,#ffff00,0
Lorrie Cranor,L. Cranor,#ffc0cb,1
Robert Harper,R. Harper,#00bfff,1
Robert Kraut,R. Kraut,#ffc0cb,1
Lujo Bauer,L. Bauer,#ffc0cb,1
Laura Dabbish,L. Dabbish,#ffc0cb,1
Yuvraj Agarwal,Y. Agarwal,#00bfff,1
James Morris,J. Morris,#d3d3d3,1
Jean Yang,J. Yang,#00bfff,0
Seth Goldstein,S. Goldstein,#ffc0cb,1
Andrew Pavlo,A. Pavlo,#00bfff,1
Chris Harrison,C. Harrison,#ffc0cb,1
Jack Mostow,J. Mostow,#d3d3d3,0
Scott Hudson,S. Hudson,#ffc0cb,1
Stelian Coros,S. Coros,#ffc0cb,1
Travis Breaux,T. Breaux,#00bfff,1
Yiming Yang,Y. Yang,#32CD32,1
Kathleen Carley,K. Carley,#32CD32,1
Christian Kästner,C. Kästner,#00bfff,1
Tai Lee,T. Lee,#32CD32,0
Abhinav Gupta,A. Gupta,#32CD32,1
J. Kolter,J. Kolter,#32CD32,0
Frank Pfenning,F. Pfenning,#ffc0cb,1
Douglas Sicker,D. Sicker,#00bfff,0
James Callan,J. Callan,#32CD32,1
Pradeep Ravikumar,P. Ravikumar,#32CD32,1
Brandon Lucia,B. Lucia,#00bfff,0
Alexander Waibel,A. Waibel,#32CD32,1
Jan Hoffmann,J. Hoffmann,#00bfff,0
Ryan O'Donnell,R. O'Donnell,#ffff00,1
Andrew Moore,A. Moore,#32CD32,0
Deva Ramanan,D. Ramanan,#32CD32,1
Kayvon Fatahalian,K. Fatahalian,#ffc0cb,1
Michael Erdmann,M. Erdmann,#ffc0cb,1
Claire Le Goues,C. Le Goues,#00bfff,1
Karl Crary,K. Crary,#00bfff,1
Bhiksha Raj,B. Raj,#32CD32,1
Dana Scott,D. Scott,#d3d3d3,0
Christopher Dyer,C. Dyer,#32CD32,0
William Scherlis,W. Scherlis,#d3d3d3,1
Gary Fedder,G. Fedder,#ffc0cb,1
Mor Harchol-Balter,M. Harchol-Balter,#00bfff,0
Yong-Lae Park,Y. Park,#ffc0cb,1
Keenan Crane,K. Crane,#ffc0cb,0
Matt Fredrikson,M. Fredrikson,#00bfff,0
Farnam Jahanian,F. Jahanian,#00bfff,0
Taylor Berg-Kirkpatrick,T. Berg-Kirkpatrick,#32CD32,0
Daniel Sleator,D. Sleator,#ffff00,0
Jian Ma,J. Ma,#ffc0cb,0
Raj Reddy,R. Reddy,#d3d3d3,0
Subra Suresh,S. Suresh,#d3d3d3,0
