name,abbrv,color,coauthored
Rong Ge,R. Ge,#00bfff,1
Pradip Srimani,P. Srimani,#d3d3d3,1
Feng Luo,F. Luo,#ffc0cb,1
Hongxin Hu,H. Hu,#00bfff,1
Kelly Caine,K. Caine,#ffc0cb,0
Jerry Tessendorf,J. Tessendorf,#ffc0cb,1
Robert Geist,R. Geist,#d3d3d3,1
James Westall,J. Westall,#d3d3d3,1
Bart Knijnenburg,B. Knijnenburg,#ffc0cb,0
Sekou Remy,S. Remy,#ffc0cb,0
Andrew Duchowski,A. Duchowski,#ffc0cb,1
Brian Dean,B. Dean,#d3d3d3,1
Roy Pargas,R. Pargas,#d3d3d3,1
Sandra Hedetniemi,S. Hedetniemi,#d3d3d3,1
Eric Patterson,E. Patterson,#d3d3d3,0
John McGregor,J. McGregor,#d3d3d3,0
Amy Apon,A. Apon,#d3d3d3,1
Ilya Safro,I. Safro,#d3d3d3,1
Alexander Herzog,A. Herzog,#ffc0cb,1
Donald House,D. House,#ffc0cb,1
Sophie Jörg,S. Jörg,#ffc0cb,1
Sabarish Babu,S. Babu,#ffc0cb,1
Jacob Sorber,J. Sorber,#00bfff,1
Murali Sitaraman,M. Sitaraman,#d3d3d3,1
James Martin,J. Martin,#d3d3d3,1
Brian Malloy,B. Malloy,#d3d3d3,1
Larry Hodges,L. Hodges,#ffc0cb,1
Andrew Robb,A. Robb,#ffc0cb,0
Victor Zordan,V. Zordan,#ffc0cb,1
Wayne Goddard,W. Goddard,#d3d3d3,1
Mark Smotherman,M. Smotherman,#d3d3d3,1
Eileen Kraemer,E. Kraemer,#00bfff,0
