name,abbrv,color,coauthored
Erik Frøkjær,E. Frøkjær,#ffc0cb,1
Kasper Hornbæk,K. Hornbæk,#ffc0cb,1
Søren Olsen,S. Olsen,#d3d3d3,0
Marleen de Bruijne,M. de Bruijne,#32CD32,1
Lauge Sørensen,L. Sørensen,#d3d3d3,1
Mads Nielsen,M. Nielsen,#32CD32,1
Aasa Feragen,A. Feragen,#32CD32,1
François Lauze,F. Lauze,#32CD32,1
Jon Sporring,J. Sporring,#d3d3d3,1
Martin Lillholm,M. Lillholm,#d3d3d3,1
Matthew Liptrot,M. Liptrot,#d3d3d3,1
Tijs Slaats,T. Slaats,#d3d3d3,0
Yvonne Jansen,Y. Jansen,#ffc0cb,1
Sebastian Boring,S. Boring,#ffc0cb,1
Mikkel Jakobsen,M. Jakobsen,#ffc0cb,1
Fritz Henglein,F. Henglein,#00bfff,1
Jakob Simonsen,J. Simonsen,#ffc0cb,1
Ken Larsen,K. Larsen,#d3d3d3,1
Cosmin Oancea,C. Oancea,#00bfff,1
Martin Elsman,M. Elsman,#d3d3d3,1
Andrzej Filinski,A. Filinski,#00bfff,1
Torben Mogensen,T. Mogensen,#d3d3d3,1
Robert Glück,R. Glück,#d3d3d3,1
Klaus Hansen,K. Hansen,#d3d3d3,0
Sune Darkner,S. Darkner,#32CD32,1
Kim Pedersen,K. Pedersen,#32CD32,1
Christian Igel,C. Igel,#32CD32,1
Sami Brandt,S. Brandt,#32CD32,1
Finn Kensing,F. Kensing,#d3d3d3,1
Jorgen Bansler,J. Bansler,#d3d3d3,1
Tariq Andersen,T. Andersen,#d3d3d3,1
Tariq Andersen,T. Andersen,#d3d3d3,1
Kenny Erleben,K. Erleben,#ffc0cb,1
Christina Lioma,C. Lioma,#32CD32,1
Christian Wulff-Nilsen,C. Wulff-Nilsen,#ffff00,1
Pawel Winter,P. Winter,#d3d3d3,1
Mikkel Thorup,M. Thorup,#ffff00,1
Yevgeny Seldin,Y. Seldin,#32CD32,1
Stephen Alstrup,S. Alstrup,#ffff00,1
Mikkel Abrahamsen,M. Abrahamsen,#d3d3d3,1
Pernille Bjørn,P. Bjørn,#ffc0cb,0
Jean-Yves Moyen,J. Moyen,#d3d3d3,0
Katarzyna Wac,K. Wac,#ffc0cb,0
Naja Møller,N. Møller,#d3d3d3,0
Jyrki Katajainen,J. Katajainen,#d3d3d3,0
