name,abbrv,color,coauthored
Rüdiger Urbanke,R. Urbanke,#ffff00,0
Bryan Ford,B. Ford,#00bfff,0
Michael Gastpar,M. Gastpar,#00bfff,1
Martin Vetterli,M. Vetterli,#00bfff,1
Jeffrey Huang,J. Huang,#ffc0cb,1
Jean-Pierre Hubaux,J. Hubaux,#00bfff,1
Jean-Yves Le Boudec,J. Le Boudec,#00bfff,1
Karl Aberer,K. Aberer,#32CD32,1
Matthias Grossglauser,M. Grossglauser,#32CD32,1
Patrick Thiran,P. Thiran,#00bfff,1
Wulfram Gerstner,W. Gerstner,#32CD32,0
Ola Svensson,O. Svensson,#ffff00,0
Willy Zwaenepoel,W. Zwaenepoel,#00bfff,0
George Candea,G. Candea,#00bfff,1
Anastasia Ailamaki,A. Ailamaki,#00bfff,1
Edouard Bugnion,E. Bugnion,#00bfff,1
Rachid Guerraoui,R. Guerraoui,#00bfff,1
Babak Falsafi,B. Falsafi,#00bfff,1
Bernard Moret,B. Moret,#ffc0cb,0
Joseph Sifakis,J. Sifakis,#00bfff,0
Viktor Kuncak,V. Kuncak,#00bfff,1
Wenzel Jakob,W. Jakob,#ffc0cb,0
Giovanni De Micheli,G. De Micheli,#00bfff,1
Arjen Lenstra,A. Lenstra,#ffff00,0
James Larus,J. Larus,#00bfff,0
Serge Vaudenay,S. Vaudenay,#ffff00,0
Christoph Koch,C. Koch,#00bfff,1
Katerina Argyraki,K. Argyraki,#00bfff,1
Emre Telatar,E. Telatar,#00bfff,1
Paolo Ienne,P. Ienne,#00bfff,1
Roger Hersch,R. Hersch,#ffc0cb,1
Sabine Süsstrunk,S. Süsstrunk,#32CD32,1
Martin Odersky,M. Odersky,#00bfff,1
Nisheeth Vishnoi,N. Vishnoi,#ffff00,0
Martin Jaggi,M. Jaggi,#32CD32,0
Alain Wegmann,A. Wegmann,#d3d3d3,0
Pascal Fua,P. Fua,#32CD32,1
Bixio Rimoldi,B. Rimoldi,#d3d3d3,1
Michael Kapralov,M. Kapralov,#ffff00,0
Boi Faltings,B. Faltings,#32CD32,0
Markus Pauly,M. Pauly,#d3d3d3,0
Amin Shokrollahi,A. Shokrollahi,#ffff00,0
Mark Pauly,M. Pauly,#ffc0cb,0
Eduardo del Castillo-Sánchez,E. del Castillo-Sánchez,#d3d3d3,0
Marcel Salathé,M. Salathé,#d3d3d3,0
Pierre Dillenbourg,P. Dillenbourg,#ffc0cb,0
