name,color
Laurent Doyen 0001,#ffff00
Nicolas Markey,#ffff00
Dietmar Berwanger,#d3d3d3
Luc Segoufin,#ffff00
Serge Abiteboul,#00bfff
Patricia Bouyer,#ffff00
Laurent Fribourg,#d3d3d3
Philippe Schnoebelen,#ffff00
Stéphane Demri,#ffff00
Sylvain Schmitz,#ffff00
Serge Haddad,#ffff00
Claudine Picaronny,#d3d3d3
David Baelde,#ffff00
Stéphanie Delaune,#00bfff
Stefan Schwoon,#d3d3d3
Stefan Haar,#d3d3d3
Thomas Chatain,#d3d3d3
Paul Gastin,#ffff00
Benedikt Bollig,#ffff00
Hubert Comon-Lundh,#00bfff
Jean Goubault-Larrecq,#ffff00
Alain Finkel,#ffff00
Stefan Göller,#ffff00
Étienne Lozes,#d3d3d3
