name,abbrv,color,coauthored
Thierry Gautier,T. Gautier,#00bfff,1
Marie Durand,M. Durand,#d3d3d3,1
Clément Pernet,C. Pernet,#d3d3d3,1
Benoît Libert,B. Libert,#ffff00,1
Damien Stehlé,D. Stehlé,#ffff00,1
Fabien Laguillaumie,F. Laguillaumie,#d3d3d3,1
Frédéric Desprez,F. Desprez,#d3d3d3,1
Eddy Caron,E. Caron,#d3d3d3,1
Yves Caniou,Y. Caniou,#d3d3d3,1
Frédéric Suter,F. Suter,#d3d3d3,1
Gilles Fedak,G. Fedak,#00bfff,1
Christian Pérez,C. Pérez,#d3d3d3,1
Adrien Basso-Blandin,A. Basso-Blandin,#d3d3d3,0
Claude-Pierre Jeannerod,C. Jeannerod,#d3d3d3,1
Gilles Villard,G. Villard,#ffff00,1
Jean-Michel Muller,J. Muller,#d3d3d3,1
Nicolas Louvet,N. Louvet,#d3d3d3,1
Pierre Lescanne,P. Lescanne,#d3d3d3,0
Shi Bai,S. Bai,#00bfff,1
Vincent Lefèvre,V. Lefèvre,#d3d3d3,1
Guillaume Hanrot,G. Hanrot,#ffff00,1
Weiqiang Wen,W. Wen,#d3d3d3,1
Svetlana Puzynina,S. Puzynina,#d3d3d3,1
Michaël Rao,M. Rao,#d3d3d3,1
Christophe Alias,C. Alias,#d3d3d3,1
Alain Darte,A. Darte,#d3d3d3,1
Paul Feautrier,P. Feautrier,#d3d3d3,1
Laure Gonnord,L. Gonnord,#00bfff,1
Loris Marchal,L. Marchal,#00bfff,1
Anne Benoit,A. Benoit,#00bfff,1
Yves Robert,Y. Robert,#00bfff,1
Bora Uçar,B. Uçar,#00bfff,1
Olivier Glück,O. Glück,#d3d3d3,1
Laurent Lefèvre,L. Lefèvre,#d3d3d3,1
Jean-Christophe Mignot,J. Mignot,#d3d3d3,1
Márton Karsai,M. Karsai,#d3d3d3,1
Eric Fleury,E. Fleury,#00bfff,1
Hadrien Hours,H. Hours,#d3d3d3,1
Omar Fawzi,O. Fawzi,#ffff00,0
Philippe Nain,P. Nain,#00bfff,0
Nathalie Revol,N. Revol,#d3d3d3,0
Natacha Portier,N. Portier,#d3d3d3,1
Pascal Koiran,P. Koiran,#00bfff,1
Stéphan Thomassé,S. Thomassé,#ffff00,1
Patrick Baillot,P. Baillot,#ffff00,1
Anupam Das,A. Das,#ffff00,1
Eric Thierry,E. Thierry,#00bfff,1
Jean-Yves L'Excellent,J. L'Excellent,#d3d3d3,1
Matthieu Imbert,M. Imbert,#d3d3d3,0
Anthony Busson,A. Busson,#d3d3d3,1
Thomas Begin,T. Begin,#d3d3d3,1
Laure Daviaud,L. Daviaud,#ffff00,1
Denis Kuperberg,D. Kuperberg,#00bfff,1
Tomofumi Yuki,T. Yuki,#00bfff,1
Tereza Klimosova,T. Klimosova,#ffff00,0
Jean-Bernard Stefani,J. Stefani,#00bfff,0
Theo Mary,T. Mary,#00bfff,0
Christophe Crespelle,C. Crespelle,#d3d3d3,1
Patrick Gros,P. Gros,#ffc0cb,0
Jinming Wen,J. Wen,#d3d3d3,0
Simon Delamare,S. Delamare,#00bfff,1
Jean-Patrick Gelas,J. Gelas,#d3d3d3,1
Serge Torres,S. Torres,#d3d3d3,1
Nicolas Brisebarre,N. Brisebarre,#d3d3d3,1
Waruna Ranasinghe,W. Ranasinghe,#d3d3d3,0
Colin Riba,C. Riba,#ffff00,1
Bruno Salvy,B. Salvy,#ffff00,0
Jurriaan Rot,J. Rot,#ffff00,1
Filippo Bonchi,F. Bonchi,#ffff00,1
Daniel Hirschkoff,D. Hirschkoff,#ffff00,0
Yves-Stan Le Cornec,Y. Le Cornec,#ffc0cb,0
Yongjun Liao,Y. Liao,#d3d3d3,0
Nicolas Trotignon,N. Trotignon,#d3d3d3,1
Matteo Mio,M. Mio,#d3d3d3,0
Laurent Thévenoux,L. Thévenoux,#d3d3d3,0
Frédéric Prost,F. Prost,#d3d3d3,0
Hélène Coullon,H. Coullon,#d3d3d3,1
Arnaud Lefray,A. Lefray,#d3d3d3,1
Sanjay Bhattacherjee,S. Bhattacherjee,#d3d3d3,0
Paola Boito,P. Boito,#d3d3d3,0
Olga Kupriianova,O. Kupriianova,#d3d3d3,1
Matias Lee,M. Lee,#d3d3d3,0
Russell Harmer,R. Harmer,#ffff00,1
Olivier Laurent,O. Laurent,#ffff00,1
Pierre Clairambault,P. Clairambault,#ffff00,1
Emmanuel Beffara,E. Beffara,#ffff00,0
Lionel Morel,L. Morel,#d3d3d3,0
