name,abbrv,color,coauthored
Dana Richards,D. Richards,#d3d3d3,1
Zoran Duric,Z. Duric,#32CD32,1
Sean Luke,S. Luke,#32CD32,1
Houman Homayoun,H. Homayoun,#00bfff,0
Jessica Lin,J. Lin,#d3d3d3,1
Huzefa Rangwala,H. Rangwala,#32CD32,1
Daniel Barbará,D. Barbará,#32CD32,1
Alexander Brodsky,A. Brodsky,#00bfff,1
Kenneth De Jong,K. De Jong,#d3d3d3,1
Gheorghe Tecuci,G. Tecuci,#d3d3d3,0
Daniel Menascé,D. Menascé,#d3d3d3,1
Hassan Gomaa,H. Gomaa,#00bfff,1
Larry Kerschberg,L. Kerschberg,#d3d3d3,0
Xinyuan Wang,X. Wang,#00bfff,1
Songqing Chen,S. Chen,#00bfff,1
Duminda Wijesekera,D. Wijesekera,#00bfff,1
Jyh-Ming Lien,J. Lien,#ffc0cb,1
Jana Kosecka,J. Kosecka,#ffc0cb,1
Yotam Gingold,Y. Gingold,#ffc0cb,1
Elizabeth White,E. White,#d3d3d3,0
Amihai Motro,A. Motro,#d3d3d3,1
Angelos Stavrou,A. Stavrou,#00bfff,1
Fei Li,F. Li,#00bfff,1
Carlotta Domeniconi,C. Domeniconi,#32CD32,1
Qi Wei,Q. Wei,#d3d3d3,1
Robert Simon,R. Simon,#d3d3d3,1
Hakan Aydin,H. Aydin,#00bfff,1
Sanjeev Setia,S. Setia,#00bfff,1
Song Kim,S. Kim,#00bfff,0
Paul Ammann,P. Ammann,#00bfff,1
Amarda Shehu,A. Shehu,#ffc0cb,1
Richard Carver,R. Carver,#d3d3d3,0
Foteini Baldimtsi,F. Baldimtsi,#00bfff,0
Harry Wechsler,H. Wechsler,#32CD32,1
Jim Chen,J. Chen,#d3d3d3,1
J. Pullen,J. Pullen,#d3d3d3,1
Jan Allbeck,J. Allbeck,#d3d3d3,0
S. Gordon,S. Gordon,#ffff00,0
Parth Pathak,P. Pathak,#00bfff,0
Kai Zeng,K. Zeng,#00bfff,0
A. Offutt,A. Offutt,#00bfff,1
Jonathan Bell,J. Bell,#00bfff,0
Arun Sood,A. Sood,#d3d3d3,0
Thomas LaToza,T. LaToza,#00bfff,0
