name,abbrv,color,coauthored
Boris Köpf,B. Köpf,#00bfff,1
Gilles Barthe,G. Barthe,#00bfff,1
Pierre Ganty,P. Ganty,#ffff00,1
Dario Fiore,D. Fiore,#ffff00,1
Benedikt Schmidt,B. Schmidt,#00bfff,1
Manuel Hermenegildo,M. Hermenegildo,#d3d3d3,1
Manuel Carro,M. Carro,#d3d3d3,1
Pedro López-García,P. López-García,#d3d3d3,1
José Morales,J. Morales,#ffff00,1
Juan Caballero,J. Caballero,#00bfff,0
Alexey Gotsman,A. Gotsman,#00bfff,0
César Sánchez,C. Sánchez,#ffff00,0
Carmela Troncoso,C. Troncoso,#00bfff,0
Alessandra Gorla,A. Gorla,#00bfff,0
Aleksandar Nanevski,A. Nanevski,#00bfff,0
