name,abbrv,color,coauthored
John Darlington,J. Darlington,#d3d3d3,0
Stefan Leutenegger,S. Leutenegger,#ffc0cb,1
Andrew Davison,A. Davison,#ffc0cb,1
Ben Glocker,B. Glocker,#32CD32,1
Robert Kowalski,R. Kowalski,#d3d3d3,0
Cristian Cadar,C. Cadar,#00bfff,1
Paul Kelly,P. Kelly,#ffc0cb,1
Peter Pietzuch,P. Pietzuch,#00bfff,1
Francesca Toni,F. Toni,#32CD32,1
Alastair Donaldson,A. Donaldson,#00bfff,1
Susan Eisenbach,S. Eisenbach,#d3d3d3,1
Nobuko Yoshida,N. Yoshida,#00bfff,1
Sophia Drossopoulou,S. Drossopoulou,#d3d3d3,1
Wayne Luk,W. Luk,#ffc0cb,1
Panos Parpas,P. Parpas,#d3d3d3,1
Berç Rustem,B. Rustem,#d3d3d3,1
Stefanos Zafeiriou,S. Zafeiriou,#32CD32,1
Giuliano Casale,G. Casale,#00bfff,1
Daniel Rueckert,D. Rueckert,#32CD32,1
Peter Harrison,P. Harrison,#00bfff,1
Ruth Misener,R. Misener,#d3d3d3,1
Marc Deisenroth,M. Deisenroth,#ffc0cb,1
Naranker Dulay,N. Dulay,#d3d3d3,1
Emil Lupu,E. Lupu,#d3d3d3,1
Morris Sloman,M. Sloman,#d3d3d3,1
Alessandra Russo,A. Russo,#00bfff,1
Ian Hodkinson,I. Hodkinson,#d3d3d3,0
Su-Lin Lee,S. Lee,#ffc0cb,1
Guang-Zhong Yang,G. Yang,#ffc0cb,1
Kin Leung,K. Leung,#00bfff,1
Julie McCann,J. McCann,#00bfff,1
Peter McBrien,P. McBrien,#d3d3d3,0
Tony Field,T. Field,#d3d3d3,1
William Knottenbelt,W. Knottenbelt,#d3d3d3,1
Oskar Mencer,O. Mencer,#d3d3d3,1
Krysia Broda,K. Broda,#d3d3d3,1
Keith Clark,K. Clark,#32CD32,1
Fariba Sadri,F. Sadri,#d3d3d3,1
Yike Guo,Y. Guo,#ffc0cb,1
Bernhard Kainz,B. Kainz,#ffc0cb,1
Murray Shanahan,M. Shanahan,#d3d3d3,1
Philippa Gardner,P. Gardner,#00bfff,1
Cristiano Calcagno,C. Calcagno,#00bfff,1
Sergio Maffeis,S. Maffeis,#00bfff,1
Marek Sergot,M. Sergot,#ffc0cb,1
Alessio Lomuscio,A. Lomuscio,#32CD32,1
Maja Pantic,M. Pantic,#32CD32,1
Björn Schuller,B. Schuller,#32CD32,1
Abhijeet Ghosh,A. Ghosh,#ffc0cb,1
Michael Huth,M. Huth,#d3d3d3,0
Jeff Kramer,J. Kramer,#00bfff,1
Iain Phillips,I. Phillips,#d3d3d3,1
Steffen van Bakel,S. van Bakel,#d3d3d3,0
Antonio Filieri,A. Filieri,#00bfff,0
Aldo Faisal,A. Faisal,#d3d3d3,0
Jim Cunningham,J. Cunningham,#d3d3d3,0
Herbert Wiklicky,H. Wiklicky,#d3d3d3,1
Chris Hankin,C. Hankin,#d3d3d3,1
Nicholas Jennings,N. Jennings,#32CD32,0
Stephen Muggleton,S. Muggleton,#32CD32,1
Thomas Heinis,T. Heinis,#00bfff,1
Abbas Edalat,A. Edalat,#ffff00,0
Aldo Faisal,A. Faisal,#d3d3d3,0
Eno Thereska,E. Thereska,#00bfff,0
Benjamin Livshits,B. Livshits,#00bfff,0
Duncan Gillies,D. Gillies,#d3d3d3,1
A. Faisal,A. Faisal,#ffc0cb,0
