name,abbrv,color,coauthored
Kemafor Ogan,K. Ogan,#d3d3d3,0
Robert St. Amant,R. St. Amant,#ffc0cb,1
David Roberts,D. Roberts,#32CD32,1
Christopher Healey,C. Healey,#ffc0cb,1
Laurie Williams,L. Williams,#00bfff,1
Peng Ning,P. Ning,#00bfff,1
Rudra Dutta,R. Dutta,#00bfff,1
William Enck,W. Enck,#00bfff,1
Xuxian Jiang,X. Jiang,#00bfff,1
Douglas Reeves,D. Reeves,#00bfff,1
Ting Yu,T. Yu,#32CD32,1
Vincent Freeh,V. Freeh,#00bfff,1
Khaled Harfoush,K. Harfoush,#00bfff,1
Injong Rhee,I. Rhee,#00bfff,1
George Rouskas,G. Rouskas,#00bfff,1
Harry Perros,H. Perros,#d3d3d3,1
Alexandros Kapravelos,A. Kapravelos,#00bfff,0
Nagiza Samatova,N. Samatova,#00bfff,1
Xiaosong Ma,X. Ma,#00bfff,1
Rada Chirkova,R. Chirkova,#00bfff,1
Robert Rodman,R. Rodman,#d3d3d3,1
Matthias Stallmann,M. Stallmann,#d3d3d3,1
Kristy Boyer,K. Boyer,#32CD32,1
Mladen Vouk,M. Vouk,#00bfff,1
James Lester,J. Lester,#32CD32,1
Collin Lynch,C. Lynch,#d3d3d3,1
Chris Parnin,C. Parnin,#00bfff,1
Emerson Murphy-Hill,E. Murphy-Hill,#00bfff,1
Alessandra Scafuro,A. Scafuro,#ffff00,0
Jessica Staddon,J. Staddon,#00bfff,0
Xiaohui Gu,X. Gu,#00bfff,1
Min Chi,M. Chi,#d3d3d3,1
Munindar Singh,M. Singh,#32CD32,1
Jon Doyle,J. Doyle,#32CD32,1
Sarah Heckman,S. Heckman,#00bfff,1
Tim Menzies,T. Menzies,#00bfff,1
Kathryn Stolee,K. Stolee,#00bfff,0
Edward Gehringer,E. Gehringer,#d3d3d3,1
Carla Savage,C. Savage,#d3d3d3,1
Robert Fornaro,R. Fornaro,#d3d3d3,0
Michael Rappa,M. Rappa,#d3d3d3,0
Arnav Jhala,A. Jhala,#32CD32,0
William Stewart,W. Stewart,#d3d3d3,0
David Thuente,D. Thuente,#d3d3d3,0
David Sturgill,D. Sturgill,#d3d3d3,0
Guoliang Jin,G. Jin,#00bfff,0
Muhammad Shahzad,M. Shahzad,#00bfff,0
Xipeng Shen,X. Shen,#00bfff,1
Chris Martens,C. Martens,#d3d3d3,0
Donald Bitzer,D. Bitzer,#d3d3d3,1
Tiffany Barnes,T. Barnes,#d3d3d3,1
Benjamin Watson,B. Watson,#ffc0cb,0
Steffen Heber,S. Heber,#d3d3d3,0
Frank Mueller,F. Mueller,#00bfff,1
Kemafor Anyanwu-Ogan,K. Anyanwu-Ogan,#d3d3d3,0
Blair Sullivan,B. Sullivan,#d3d3d3,0
Hung-Wei Tseng,H. Tseng,#00bfff,0
