name,abbrv,color,coauthored
Christopher Stewart,C. Stewart,#00bfff,1
Srinivasan Parthasarathy,S. Parthasarathy,#32CD32,1
Tamal Dey,T. Dey,#ffff00,1
Yusu Wang,Y. Wang,#ffff00,1
Rephael Wenger,R. Wenger,#ffc0cb,1
Huamin Wang,H. Wang,#ffc0cb,1
Facundo Mémoli,F. Mémoli,#32CD32,1
Anastasios Sidiropoulos,A. Sidiropoulos,#ffff00,1
Eric Fosler-Lussier,E. Fosler-Lussier,#32CD32,1
DeLiang Wang,D. Wang,#32CD32,1
Yang 0009,Y. 0009,#00bfff,0
Han-Wei Shen,H. Shen,#ffc0cb,1
Nicoleta Roman,N. Roman,#d3d3d3,1
Dong Xuan,D. Xuan,#00bfff,1
Ten-Hwang Lai,T. Lai,#00bfff,1
Mikhail Belkin,M. Belkin,#32CD32,1
Feng Qin,F. Qin,#00bfff,1
Prasun Sinha,P. Sinha,#00bfff,1
Yinqian Zhang,Y. Zhang,#00bfff,1
Radu Teodorescu,R. Teodorescu,#00bfff,1
Atanas Rountev,A. Rountev,#00bfff,1
Michael Bond,M. Bond,#00bfff,1
P. Sadayappan,P. Sadayappan,#00bfff,1
Anish Arora,A. Arora,#00bfff,1
Kannan Srinivasan,K. Srinivasan,#00bfff,1
Ness Shroff,N. Shroff,#00bfff,1
Xiaodong Zhang,X. Zhang,#00bfff,1
Alan Ritter,A. Ritter,#32CD32,1
Wei Xu,W. Xu,#32CD32,1
Raghu Machiraju,R. Machiraju,#ffc0cb,1
Gagan Agrawal,G. Agrawal,#00bfff,1
Paolo Sivilotti,P. Sivilotti,#d3d3d3,0
Jim Davis,J. Davis,#d3d3d3,0
Luis Rademacher,L. Rademacher,#ffff00,1
Dhabaleswar Panda,D. Panda,#00bfff,1
Neelam Soundarajan,N. Soundarajan,#00bfff,0
Roger Crawfis,R. Crawfis,#d3d3d3,1
Spyros Blanas,S. Blanas,#00bfff,1
Chunyi Peng,C. Peng,#00bfff,0
Huan Sun,H. Sun,#32CD32,0
