name,abbrv,color,coauthored
John Metzner,J. Metzner,#d3d3d3,0
Webb Miller,W. Miller,#ffff00,1
Piotr Berman,P. Berman,#ffff00,1
Mahmut Kandemir,M. Kandemir,#00bfff,1
Anand Sivasubramaniam,A. Sivasubramaniam,#00bfff,1
Chita Das,C. Das,#00bfff,1
Mary Irwin,M. Irwin,#00bfff,1
Narayanan Vijaykrishnan,N. Vijaykrishnan,#00bfff,1
Jack Sampson,J. Sampson,#00bfff,1
Sencun Zhu,S. Zhu,#00bfff,1
Patrick McDaniel,P. McDaniel,#00bfff,1
Wang-Chien Lee,W. Lee,#32CD32,1
Guohong Cao,G. Cao,#00bfff,1
Bhuvan Urgaonkar,B. Urgaonkar,#00bfff,1
Raj Acharya,R. Acharya,#d3d3d3,1
Thomas La Porta,T. La Porta,#00bfff,1
Daniel Kifer,D. Kifer,#00bfff,1
Danfeng Zhang,D. Zhang,#00bfff,1
Yanxi Liu,Y. Liu,#32CD32,1
Robert Collins,R. Collins,#32CD32,1
George Kesidis,G. Kesidis,#00bfff,1
Jesse Barlow,J. Barlow,#32CD32,0
Sofya Raskhodnikova,S. Raskhodnikova,#ffff00,1
Martin Fürer,M. Fürer,#ffff00,1
Trent Jaeger,T. Jaeger,#00bfff,1
Gang Tan,G. Tan,#00bfff,1
Adam Smith,A. Smith,#ffff00,1
Sean Hallgren,S. Hallgren,#ffff00,1
Lee Coraor,L. Coraor,#d3d3d3,0
Kamesh Madduri,K. Madduri,#00bfff,0
Paul Medvedev,P. Medvedev,#ffc0cb,1
John Carroll,J. Carroll,#ffc0cb,0
