name,abbrv,color,coauthored
Doug James,D. James,#ffc0cb,0
Pat Hanrahan,P. Hanrahan,#ffc0cb,1
Kunle Olukotun,K. Olukotun,#00bfff,1
Alexander Aiken,A. Aiken,#00bfff,1
William Dally,W. Dally,#00bfff,1
Philip Levis,P. Levis,#00bfff,1
Leonidas Guibas,L. Guibas,#ffc0cb,1
Silvio Savarese,S. Savarese,#32CD32,1
Christopher Manning,C. Manning,#32CD32,1
Mark Horowitz,M. Horowitz,#00bfff,1
James Landay,J. Landay,#ffc0cb,1
David Mazières,D. Mazières,#00bfff,1
Sachin Katti,S. Katti,#00bfff,1
Keith Winstein,K. Winstein,#00bfff,1
Christoforos Kozyrakis,C. Kozyrakis,#00bfff,1
Dan Boneh,D. Boneh,#00bfff,1
Michael Bernstein,M. Bernstein,#ffc0cb,1
Fei-Fei Li,F. Li,#32CD32,1
Maneesh Agrawala,M. Agrawala,#ffc0cb,1
Daphne Koller,D. Koller,#32CD32,1
John Mitchell,J. Mitchell,#00bfff,1
Nick McKeown,N. McKeown,#00bfff,1
Monica Lam,M. Lam,#00bfff,1
Peter Bailis,P. Bailis,#00bfff,0
Subhasish Mitra,S. Mitra,#00bfff,1
Mendel Rosenblum,M. Rosenblum,#00bfff,1
John Ousterhout,J. Ousterhout,#00bfff,1
Christopher Ré,C. Ré,#00bfff,1
Oussama Khatib,O. Khatib,#ffc0cb,0
Moses Charikar,M. Charikar,#ffff00,1
Gregory Valiant,G. Valiant,#ffff00,1
Tim Roughgarden,T. Roughgarden,#ffff00,1
Balaji Prabhakar,B. Prabhakar,#00bfff,1
Jure Leskovec,J. Leskovec,#32CD32,1
Daniel Jurafsky,D. Jurafsky,#32CD32,1
Hector Garcia-Molina,H. Garcia-Molina,#00bfff,1
Jennifer Widom,J. Widom,#00bfff,1
David Cheriton,D. Cheriton,#00bfff,1
Michael Genesereth,M. Genesereth,#d3d3d3,0
Marc Levoy,M. Levoy,#ffc0cb,1
Ronald Fedkiw,R. Fedkiw,#ffc0cb,0
Dawson Engler,D. Engler,#00bfff,1
David Dill,D. Dill,#00bfff,1
John Salisbury,J. Salisbury,#ffc0cb,0
Yoav Shoham,Y. Shoham,#32CD32,0
Mehran Sahami,M. Sahami,#32CD32,1
Percy Liang,P. Liang,#32CD32,1
Gill Bejerano,G. Bejerano,#d3d3d3,0
John Hennessy,J. Hennessy,#d3d3d3,0
R. Williams,R. Williams,#ffff00,1
Virginia Williams,V. Williams,#ffff00,1
Stefano Ermon,S. Ermon,#32CD32,0
Anshul Kundaje,A. Kundaje,#32CD32,1
Serafim Batzoglou,S. Batzoglou,#ffc0cb,1
Ron Dror,R. Dror,#00bfff,0
Matei Zaharia,M. Zaharia,#00bfff,0
Eric Roberts,E. Roberts,#d3d3d3,0
