name,abbrv,color,coauthored
David Naumann,D. Naumann,#00bfff,1
Susanne Wetzel,S. Wetzel,#d3d3d3,1
Enrique Dunn,E. Dunn,#32CD32,0
Adriana Compagnoni,A. Compagnoni,#d3d3d3,0
Philippos Mordohai,P. Mordohai,#32CD32,1
Wendy Wang,W. Wang,#00bfff,1
David Farber,D. Farber,#d3d3d3,0
David Klappholz,D. Klappholz,#00bfff,0
Samantha Kleinberg,S. Kleinberg,#32CD32,0
Giuseppe Ateniese,G. Ateniese,#00bfff,0
Fernando Pérez-Cruz,F. Pérez-Cruz,#32CD32,0
Antonio Nicolosi,A. Nicolosi,#d3d3d3,0
Dominic Duggan,D. Duggan,#d3d3d3,0
Nikos Triandopoulos,N. Triandopoulos,#00bfff,0
Georgios Portokalidis,G. Portokalidis,#00bfff,0
