name,abbrv,color,coauthored
Rainer Groh,R. Groh,#d3d3d3,1
Stefan Gumhold,S. Gumhold,#32CD32,1
Raimund Dachselt,R. Dachselt,#ffc0cb,1
Heiko Vogler,H. Vogler,#32CD32,0
Christof Fetzer,C. Fetzer,#00bfff,1
Jerónimo Castrillón,J. Castrillón,#00bfff,1
Wolfgang Lehner,W. Lehner,#00bfff,1
Thorsten Strufe,T. Strufe,#00bfff,1
Christel Baier,C. Baier,#ffff00,1
Wolfgang Nagel,W. Nagel,#00bfff,1
Hermann Härtig,H. Härtig,#00bfff,1
Steffen Friedrich,S. Friedrich,#d3d3d3,0
Ivo Sbalzarini,I. Sbalzarini,#d3d3d3,0
Sebastian Rudolph,S. Rudolph,#32CD32,0
Klaus Meißner,K. Meißner,#d3d3d3,1
Uwe Aßmann,U. Aßmann,#d3d3d3,1
Carsten Rother,C. Rother,#32CD32,1
Alexander Schill,A. Schill,#d3d3d3,1
Rainer Spallek,R. Spallek,#d3d3d3,1
Franz Baader,F. Baader,#32CD32,1
Uwe Petersohn,U. Petersohn,#d3d3d3,1
Klaus Kabitzsch,K. Kabitzsch,#d3d3d3,0
Silvia Santini,S. Santini,#ffc0cb,0
Akash Kumar,A. Kumar,#00bfff,0
Horst Reichel,H. Reichel,#d3d3d3,0
Steffen Hölldobler,S. Hölldobler,#32CD32,0
Martin Wollschlaeger,M. Wollschlaeger,#d3d3d3,0
