name,abbrv,color,coauthored
Tobias Nipkow,T. Nipkow,#ffff00,0
Gerd Hirzinger,G. Hirzinger,#ffc0cb,1
Alin Albu-Schäffer,A. Albu-Schäffer,#ffc0cb,1
Darius Burschka,D. Burschka,#ffc0cb,1
Patrick van der Smagt,P. van der Smagt,#ffc0cb,1
Alois Knoll,A. Knoll,#ffc0cb,1
Florian Matthes,F. Matthes,#d3d3d3,1
Martin Bichler,M. Bichler,#d3d3d3,1
Alexander Pretschner,A. Pretschner,#00bfff,1
Nassir Navab,N. Navab,#32CD32,1
Jorge Curiel-Esparza,J. Curiel-Esparza,#d3d3d3,0
Carsten Steger,C. Steger,#ffc0cb,1
Jan Kretínský,J. Kretínský,#ffff00,0
Jörg Ott,J. Ott,#00bfff,0
Michael Bader,M. Bader,#00bfff,1
Hans-Joachim Bungartz,H. Bungartz,#00bfff,1
Thomas Huckle,T. Huckle,#d3d3d3,1
Arndt Bode,A. Bode,#00bfff,1
Michael Gerndt,M. Gerndt,#d3d3d3,1
Thomas Neumann,T. Neumann,#00bfff,0
Burkhard Rost,B. Rost,#ffc0cb,0
Anne Brüggemann-Klein,A. Brüggemann-Klein,#d3d3d3,0
Helmut Seidl,H. Seidl,#00bfff,0
Bernd Brügge,B. Brügge,#00bfff,0
August-Wilhelm Scheer,A. Scheer,#d3d3d3,0
Bjoern Menze,B. Menze,#d3d3d3,0
Julien Gagneur,J. Gagneur,#d3d3d3,0
Ernst Denert,E. Denert,#d3d3d3,0
Helmut Krcmar,H. Krcmar,#d3d3d3,1
Thomas Runkler,T. Runkler,#d3d3d3,1
Georg Carle,G. Carle,#00bfff,0
Susanne Albers,S. Albers,#ffff00,0
Harald Räcke,H. Räcke,#ffff00,0
Daniel Cremers,D. Cremers,#32CD32,1
Peter Hubwieser,P. Hubwieser,#d3d3d3,0
Nils Thürey,N. Thürey,#ffc0cb,0
Uwe Baumgarten,U. Baumgarten,#d3d3d3,0
Peter Struss,P. Struss,#32CD32,0
Matthias Althoff,M. Althoff,#ffc0cb,0
Claudia Eckert,C. Eckert,#32CD32,0
Hans-Arno Jacobsen,H. Jacobsen,#00bfff,0
