name,abbrv,color,coauthored
Yehuda Afek,Y. Afek,#00bfff,1
Adam Morrison,A. Morrison,#00bfff,1
Noga Alon,N. Alon,#ffff00,1
Haim Kaplan,H. Kaplan,#ffff00,1
Lior Wolf,L. Wolf,#32CD32,1
Noam Rinetzky,N. Rinetzky,#ffff00,1
Amos Fiat,A. Fiat,#ffff00,1
Shiri Chechik,S. Chechik,#ffff00,1
Yishay Mansour,Y. Mansour,#ffff00,1
Michal Feldman,M. Feldman,#ffff00,1
Micha Sharir,M. Sharir,#ffff00,1
Amnon Ta-Shma,A. Ta-Shma,#ffff00,1
Yossi Azar,Y. Azar,#ffff00,1
Tova Milo,T. Milo,#00bfff,1
Rotem Oshman,R. Oshman,#ffff00,1
Uri Zwick,U. Zwick,#ffff00,1
Ron Shamir,R. Shamir,#ffc0cb,1
Roded Sharan,R. Sharan,#ffc0cb,1
Amir Shpilka,A. Shpilka,#ffff00,1
Daniel Deutch,D. Deutch,#00bfff,1
Dan Halperin,D. Halperin,#ffc0cb,1
Haim Wolfson,H. Wolfson,#ffc0cb,1
Alexander Rabinovich,A. Rabinovich,#ffff00,1
Shmuel Sagiv,S. Sagiv,#00bfff,1
Nachum Dershowitz,N. Dershowitz,#32CD32,1
Arnon Avron,A. Avron,#ffff00,1
Sharon Shoham,S. Shoham,#ffff00,1
Michael Tarsi,M. Tarsi,#d3d3d3,0
Amir Globerson,A. Globerson,#32CD32,1
Jonathan Berant,J. Berant,#32CD32,1
Amir Averbuch,A. Averbuch,#32CD32,1
Amiram Yehudai,A. Yehudai,#d3d3d3,1
Shmuel Safra,S. Safra,#ffff00,1
Benny Chor,B. Chor,#ffc0cb,0
Hanoch Levy,H. Levy,#00bfff,0
Boris Trakhtenbrot,B. Trakhtenbrot,#d3d3d3,0
Eran Halperin,E. Halperin,#ffc0cb,1
Yossi Matias,Y. Matias,#32CD32,0
Nathan Intrator,N. Intrator,#d3d3d3,1
Yehezkel Yeshurun,Y. Yeshurun,#ffc0cb,1
Sivan Toledo,S. Toledo,#32CD32,1
Eran Tromer,E. Tromer,#ffff00,1
Daniel Cohen-Or,D. Cohen-Or,#ffc0cb,1
Shahar Maoz,S. Maoz,#00bfff,0
Iftach Haitner,I. Haitner,#ffff00,0
