name,abbrv,color,coauthored
Theoharis Theoharis,T. Theoharis,#32CD32,0
Nicholas Kalouptsidis,N. Kalouptsidis,#d3d3d3,1
Sergios Theodoridis,S. Theodoridis,#d3d3d3,1
Mema Roussopoulos,M. Roussopoulos,#00bfff,1
Alex Delis,A. Delis,#d3d3d3,1
Stathes Hadjiefthymiades,S. Hadjiefthymiades,#d3d3d3,1
Lazaros Merakos,L. Merakos,#d3d3d3,1
Aphrodite Tsalgatidou,A. Tsalgatidou,#d3d3d3,1
Dimitris Varoutas,D. Varoutas,#d3d3d3,1
Georgios Kouroupetroglou,G. Kouroupetroglou,#d3d3d3,1
Dimitrios Gunopulos,D. Gunopulos,#00bfff,1
Yannis Ioannidis,Y. Ioannidis,#00bfff,1
Yannis Smaragdakis,Y. Smaragdakis,#00bfff,1
Angela Arapoyanni,A. Arapoyanni,#d3d3d3,0
Panos Rondogiannis,P. Rondogiannis,#d3d3d3,0
Dimitris Gizopoulos,D. Gizopoulos,#00bfff,1
Antonis Paschalis,A. Paschalis,#00bfff,1
Nikolaos Missirlis,N. Missirlis,#d3d3d3,1
Yannis Cotronis,Y. Cotronis,#d3d3d3,1
Filippos Tzaferis,F. Tzaferis,#d3d3d3,1
Elias Manolakos,E. Manolakos,#ffc0cb,0
Nancy Alonistioti,N. Alonistioti,#d3d3d3,1
Michael Hatzopoulos,M. Hatzopoulos,#d3d3d3,0
Dimitris Syvridis,D. Syvridis,#d3d3d3,0
Athanassia Alonistioti,A. Alonistioti,#d3d3d3,1
Panagiotis Stamatopoulos,P. Stamatopoulos,#d3d3d3,0
Manolis Koubarakis,M. Koubarakis,#32CD32,1
Vassilis Zissimopoulos,V. Zissimopoulos,#d3d3d3,0
Maria Roussou,M. Roussou,#d3d3d3,1
P. Mathiopoulos,P. Mathiopoulos,#d3d3d3,1
Stavros Kolliopoulos,S. Kolliopoulos,#d3d3d3,0
Ioannis Stavrakakis,I. Stavrakakis,#00bfff,1
Alexandros Eleftheriadis,A. Eleftheriadis,#d3d3d3,0
Isambo Karali,I. Karali,#d3d3d3,0
