name,abbrv,color,coauthored
Ian Holyer,I. Holyer,#d3d3d3,1
Theodore Tryfonas,T. Tryfonas,#d3d3d3,1
Kerstin Eder,K. Eder,#ffc0cb,1
Elisabeth Oswald,E. Oswald,#ffff00,1
Oliver Ray,O. Ray,#d3d3d3,1
Peter Flach,P. Flach,#32CD32,1
David May,D. May,#d3d3d3,1
Martijn Stam,M. Stam,#ffff00,1
Dan Page,D. Page,#d3d3d3,1
Bogdan Warinschi,B. Warinschi,#00bfff,1
Julian Gough,J. Gough,#ffc0cb,0
Nigel Smart,N. Smart,#ffff00,1
Simon McIntosh-Smith,S. McIntosh-Smith,#00bfff,0
Tim Kovacs,T. Kovacs,#d3d3d3,0
Kirsten Cater,K. Cater,#ffc0cb,1
Mike Fraser,M. Fraser,#ffc0cb,1
Nicolas Wu,N. Wu,#00bfff,0
Chris Preist,C. Preist,#ffc0cb,1
Majid Mirmehdi,M. Mirmehdi,#32CD32,1
Neill Campbell,N. Campbell,#32CD32,1
Dima Damen,D. Damen,#32CD32,1
Tilo Burghardt,T. Burghardt,#d3d3d3,1
He Sun,H. Sun,#ffff00,0
Andrew Calway,A. Calway,#ffc0cb,1
Walterio Mayol-Cuevas,W. Mayol-Cuevas,#ffc0cb,1
Carl Ek,C. Ek,#ffc0cb,1
Colin Dalton,C. Dalton,#d3d3d3,1
Conor Houghton,C. Houghton,#d3d3d3,0
Anne Roudaut,A. Roudaut,#ffc0cb,0
Steve Gregory,S. Gregory,#d3d3d3,0
Raphaël Clifford,R. Clifford,#ffff00,0
Cian O'Donnell,C. O'Donnell,#d3d3d3,0
David Bernhard,D. Bernhard,#00bfff,1
Dave Cliff,D. Cliff,#32CD32,1
Seth Bullock,S. Bullock,#d3d3d3,1
