name,abbrv,color,coauthored
Wayne Eberly,W. Eberly,#d3d3d3,0
Mea Wang,M. Wang,#00bfff,1
John Aycock,J. Aycock,#ffc0cb,1
Zongpeng Li,Z. Li,#00bfff,1
Carey Williamson,C. Williamson,#32CD32,1
Reihaneh Safavi-Naini,R. Safavi-Naini,#00bfff,1
Wesley Willett,W. Willett,#ffc0cb,1
Lora Oehlberg,L. Oehlberg,#ffc0cb,1
Marina Gavrilova,M. Gavrilova,#d3d3d3,1
Faramarz Samavati,F. Samavati,#d3d3d3,1
Reda Alhajj,R. Alhajj,#32CD32,1
Jon Rokne,J. Rokne,#d3d3d3,1
Mario Sousa,M. Sousa,#ffc0cb,1
Günther Ruhe,G. Ruhe,#00bfff,1
Ken Barker,K. Barker,#32CD32,1
Jalal Kawash,J. Kawash,#d3d3d3,1
Philip Fong,P. Fong,#00bfff,1
Jörg Denzinger,J. Denzinger,#00bfff,1
Robert Walker,R. Walker,#00bfff,1
Jeffrey Boyd,J. Boyd,#d3d3d3,1
Majid Ghaderi,M. Ghaderi,#00bfff,1
Christian Jacob,C. Jacob,#d3d3d3,1
Ben Stephenson,B. Stephenson,#d3d3d3,1
Frank Maurer,F. Maurer,#00bfff,1
Ehud Sharlin,E. Sharlin,#ffc0cb,1
Michael Locasto,M. Locasto,#00bfff,1
Michael Jacobson,M. Jacobson,#d3d3d3,1
Saul Greenberg,S. Greenberg,#ffc0cb,1
Rob Kremer,R. Kremer,#d3d3d3,0
M. Carpendale,M. Carpendale,#ffc0cb,1
Leonard Manzara,L. Manzara,#d3d3d3,1
Przemyslaw Prusinkiewicz,P. Prusinkiewicz,#ffc0cb,1
Usman Alim,U. Alim,#ffc0cb,1
Philipp Woelfel,P. Woelfel,#ffff00,1
Peter Høyer,P. Høyer,#ffff00,0
James Tam,J. Tam,#d3d3d3,1
Renate Scheidler,R. Scheidler,#d3d3d3,1
Nelson Wong,N. Wong,#ffc0cb,0
Sonny Chan,S. Chan,#ffc0cb,0
J. Cockett,J. Cockett,#d3d3d3,0
