name,abbrv,color,coauthored
Yong Lee,Y. Lee,#32CD32,0
Cho-Jui Hsieh,C. Hsieh,#32CD32,0
Bernd Hamann,B. Hamann,#ffc0cb,1
Michael Neff,M. Neff,#ffc0cb,1
Patrice Koehl,P. Koehl,#d3d3d3,1
Zhaojun Bai,Z. Bai,#00bfff,1
Hao Chen,H. Chen,#00bfff,1
Shyhtsun Wu,S. Wu,#00bfff,1
Premkumar Devanbu,P. Devanbu,#00bfff,1
Vladimir Filkov,V. Filkov,#00bfff,1
Zhendong Su,Z. Su,#00bfff,1
Prasant Mohapatra,P. Mohapatra,#00bfff,1
Ronald Olsson,R. Olsson,#00bfff,0
Matthew Franklin,M. Franklin,#ffff00,0
Nina Amenta,N. Amenta,#ffc0cb,1
Raissa D'Souza,R. D'Souza,#00bfff,0
Biswanath Mukherjee,B. Mukherjee,#00bfff,1
Dipak Ghosal,D. Ghosal,#00bfff,1
Norman Matloff,N. Matloff,#d3d3d3,1
Kwan-Liu Ma,K. Ma,#ffc0cb,1
Matthew Farrens,M. Farrens,#00bfff,1
Karl Levitt,K. Levitt,#00bfff,1
Phillip Rogaway,P. Rogaway,#ffff00,0
François Gygi,F. Gygi,#00bfff,1
Ian Davidson,I. Davidson,#32CD32,0
David Doty,D. Doty,#ffff00,0
Nelson Max,N. Max,#ffc0cb,1
Ilias Tagkopoulos,I. Tagkopoulos,#d3d3d3,1
Matt Bishop,M. Bishop,#00bfff,1
Cindy Rubio-González,C. Rubio-González,#00bfff,0
Xin Liu,X. Liu,#32CD32,0
Raissa D'Souza,R. D'Souza,#d3d3d3,0
