name,color
Eleazar Eskin,#ffc0cb
Adnan Darwiche,#32CD32
Jason Ernst,#ffc0cb
Rafail Ostrovsky,#ffff00
Amit Sahai,#ffff00
George Varghese,#00bfff
Todd D. Millstein,#00bfff
Wei Wang 0010,#32CD32
Carlo Zaniolo,#00bfff
Milos Ercegovac,#00bfff
Glenn Reinman,#00bfff
Song-Chun Zhu,#32CD32
Demetri Terzopoulos,#ffc0cb
Majid Sarrafzadeh,#32CD32
Miodrag Potkonjak,#00bfff
Jason Cong,#00bfff
Mario Gerla,#00bfff
Milos D. Ercegovac,#d3d3d3
Lixia Zhang,#d3d3d3
Guy Van den Broeck,#32CD32
Judea Pearl,#32CD32
Miryung Kim,#00bfff
Tyson Condie,#00bfff
Jens Palsberg,#00bfff
Junghoo Cho,#32CD32
Songwu Lu,#00bfff
Yuval Tamir,#d3d3d3
Alexander A. Sherstov,#ffff00
Michael G. Dyer,#d3d3d3
Joseph J. DiStefano III,#d3d3d3
