name,abbrv,color,coauthored
Sean Holden,S. Holden,#32CD32,1
Lawrence Paulson,L. Paulson,#d3d3d3,1
Robert Watson,R. Watson,#00bfff,1
Simon Moore,S. Moore,#00bfff,0
Peter Sewell,P. Sewell,#00bfff,1
Anil Madhavapeddy,A. Madhavapeddy,#00bfff,1
Jon Crowcroft,J. Crowcroft,#32CD32,1
Frank Stajano,F. Stajano,#00bfff,1
Hatice Gunes,H. Gunes,#d3d3d3,1
Peter Robinson,P. Robinson,#32CD32,1
Timothy Griffin,T. Griffin,#00bfff,1
Richard Gibbens,R. Gibbens,#00bfff,1
Robert Mullins,R. Mullins,#d3d3d3,1
Timothy Jones,T. Jones,#00bfff,1
Anuj Dawar,A. Dawar,#ffff00,0
Simone Teufel,S. Teufel,#32CD32,1
Ann Copestake,A. Copestake,#d3d3d3,1
Ted Briscoe,T. Briscoe,#32CD32,0
Alan Mycroft,A. Mycroft,#00bfff,1
Alastair Beresford,A. Beresford,#d3d3d3,1
Ian Leslie,I. Leslie,#00bfff,1
Richard Mortier,R. Mortier,#00bfff,1
Alan Blackwell,A. Blackwell,#ffc0cb,0
Andrew Pitts,A. Pitts,#00bfff,1
Marcelo Fiore,M. Fiore,#ffff00,1
Glynn Winskel,G. Winskel,#ffff00,0
Markus Kuhn,M. Kuhn,#d3d3d3,0
Robert Mullins,R. Mullins,#d3d3d3,1
Pietro Liò,P. Liò,#ffc0cb,1
Ian Wassell,I. Wassell,#32CD32,1
David Greaves,D. Greaves,#d3d3d3,0
Andrew Rice,A. Rice,#00bfff,1
Andy Hopper,A. Hopper,#ffc0cb,1
Robert Harle,R. Harle,#ffc0cb,1
John Daugman,J. Daugman,#d3d3d3,0
Rafal Mantiuk,R. Mantiuk,#ffc0cb,0
Cecilia Mascolo,C. Mascolo,#00bfff,1
Mateja Jamnik,M. Jamnik,#d3d3d3,1
Andrew Moore,A. Moore,#d3d3d3,0
Ross Anderson,R. Anderson,#ffff00,0
Sean Holden,S. Holden,#d3d3d3,1
Stephen Clark,S. Clark,#32CD32,1
Michael Gordon,M. Gordon,#d3d3d3,0
Alan Blackwell,A. Blackwell,#ffc0cb,0
Robert Harle,R. Harle,#ffc0cb,1
Simon Moore,S. Moore,#d3d3d3,0
Thomas Sauerwald,T. Sauerwald,#ffff00,0
