name,abbrv,color,coauthored
Kien Hua,K. Hua,#00bfff,1
Sheau-Dong Lang,S. Lang,#00bfff,1
Guo-Jun Qi,G. Qi,#32CD32,1
Cliff Zou,C. Zou,#00bfff,1
Pamela Wisniewski,P. Wisniewski,#ffc0cb,1
Joseph LaViola,J. LaViola,#ffc0cb,1
Gita Sukthankar,G. Sukthankar,#32CD32,0
Shaojie Zhang,S. Zhang,#ffc0cb,0
Avelino Gonzalez,A. Gonzalez,#d3d3d3,1
Sumanta Pattanaik,S. Pattanaik,#ffc0cb,1
Mubarak Shah,M. Shah,#32CD32,1
Boqing Gong,B. Gong,#32CD32,1
Niels da Vitoria Lobo,N. da Vitoria Lobo,#ffc0cb,1
Ratan Guha,R. Guha,#d3d3d3,1
Sumit Jha,S. Jha,#d3d3d3,0
Charles Hughes,C. Hughes,#32CD32,1
Fei Liu,F. Liu,#32CD32,0
Haiyan Hu,H. Hu,#ffc0cb,0
Kenneth Stanley,K. Stanley,#32CD32,1
Gary Leavens,G. Leavens,#00bfff,0
Mark Heinrich,M. Heinrich,#d3d3d3,0
Ali Orooji,A. Orooji,#d3d3d3,0
Damla Turgut,D. Turgut,#d3d3d3,1
Dan Marinescu,D. Marinescu,#d3d3d3,1
Liqiang Wang,L. Wang,#d3d3d3,0
Pawel Wocjan,P. Wocjan,#d3d3d3,0
Ulas Bagci,U. Bagci,#d3d3d3,0
Annie Wu,A. Wu,#d3d3d3,0
