name,abbrv,color,coauthored
László Babai,L. Babai,#ffff00,0
Ravi Chugh,R. Chugh,#00bfff,0
Anne Rogers,A. Rogers,#d3d3d3,1
Ian Foster,I. Foster,#00bfff,1
Haryadi Gunawi,H. Gunawi,#00bfff,1
Andrew Chien,A. Chien,#00bfff,1
Shan Lu,S. Lu,#00bfff,1
Janos Simon,J. Simon,#d3d3d3,1
Stuart Kurtz,S. Kurtz,#d3d3d3,1
Andrew Drucker,A. Drucker,#ffff00,0
Rick Stevens,R. Stevens,#d3d3d3,1
Risi Kondor,R. Kondor,#32CD32,0
Ketan Mulmuley,K. Mulmuley,#ffff00,0
John Lafferty,J. Lafferty,#32CD32,1
Henry Hoffmann,H. Hoffmann,#00bfff,1
Michael Franklin,M. Franklin,#00bfff,0
Aaron Elmore,A. Elmore,#00bfff,0
Todd Dupont,T. Dupont,#d3d3d3,1
L. Scott,L. Scott,#d3d3d3,1
Michael O'Donnell,M. O'Donnell,#d3d3d3,0
Frederic Chong,F. Chong,#00bfff,0
Blase Ur,B. Ur,#ffc0cb,0
Yali Amit,Y. Amit,#d3d3d3,0
Alexander Razborov,A. Razborov,#ffff00,0
Gordon Kindlmann,G. Kindlmann,#ffc0cb,1
John Reppy,J. Reppy,#00bfff,1
Ariel Feldman,A. Feldman,#00bfff,0
Yanjing Li,Y. Li,#00bfff,0
Robert Soare,R. Soare,#d3d3d3,0
