name,abbrv,color,coauthored
Dirk Grunwald,D. Grunwald,#00bfff,1
Richard Han,R. Han,#00bfff,1
Qin Lv,Q. Lv,#ffc0cb,1
John Black,J. Black,#00bfff,1
Clayton Lewis,C. Lewis,#d3d3d3,1
John Bennett,J. Bennett,#ffc0cb,1
Leysia Palen,L. Palen,#ffc0cb,1
Kenneth Anderson,K. Anderson,#ffc0cb,1
James Martin,J. Martin,#32CD32,1
Martha Palmer,M. Palmer,#32CD32,1
Sriram Sankaranarayanan,S. Sankaranarayanan,#ffff00,1
Bor-Yuh Chang,B. Chang,#00bfff,1
Rafael Frongillo,R. Frongillo,#32CD32,0
Henry Tufo,H. Tufo,#00bfff,0
Pavol Cerný,P. Cerný,#ffff00,1
Shivakant Mishra,S. Mishra,#00bfff,1
Lijun Chen,L. Chen,#00bfff,1
Nikolaus Correll,N. Correll,#ffc0cb,1
Gabe Sibley,G. Sibley,#ffc0cb,1
Tom Yeh,T. Yeh,#ffc0cb,1
Michael Eisenberg,M. Eisenberg,#ffc0cb,1
Mark Gross,M. Gross,#ffc0cb,1
Aaron Clauset,A. Clauset,#32CD32,0
R. Shapiro,R. Shapiro,#d3d3d3,0
Xiao-Chuan Cai,X. Cai,#d3d3d3,0
Matthew Hammer,M. Hammer,#00bfff,1
Sangtae Ha,S. Ha,#00bfff,0
Elizabeth Jessup,E. Jessup,#00bfff,0
Shaun Kane,S. Kane,#ffc0cb,0
Jed Brown,J. Brown,#00bfff,0
Elizabeth Bradley,E. Bradley,#32CD32,0
Daniel Szafir,D. Szafir,#ffc0cb,0
Jordan Boyd-Graber,J. Boyd-Graber,#32CD32,1
Tamara Sumner,T. Sumner,#32CD32,1
Michael Mozer,M. Mozer,#32CD32,0
