name,abbrv,color,coauthored
J. Herrmann,J. Herrmann,#ffc0cb,0
Ewan Klein,E. Klein,#32CD32,1
Jon Oberlander,J. Oberlander,#32CD32,1
Dave Robertson,D. Robertson,#d3d3d3,1
Michael Rovatsos,M. Rovatsos,#d3d3d3,1
Guido Sanguinetti,G. Sanguinetti,#ffc0cb,1
Jane Hillston,J. Hillston,#d3d3d3,1
Björn Franke,B. Franke,#00bfff,1
Hugh Leather,H. Leather,#d3d3d3,1
Nigel Topham,N. Topham,#00bfff,1
Michael O'Boyle,M. O'Boyle,#00bfff,1
Christophe Dubach,C. Dubach,#00bfff,1
Nigel Topham,N. Topham,#d3d3d3,1
Adam Lopez,A. Lopez,#32CD32,1
Bonnie Webber,B. Webber,#32CD32,1
Sharon Goldwater,S. Goldwater,#32CD32,1
Maurice Fallon,M. Fallon,#ffc0cb,0
Pramod Bhatotia,P. Bhatotia,#32CD32,0
Mark van Rossum,M. van Rossum,#d3d3d3,1
Peggy Seriès,P. Seriès,#32CD32,1
Nigel Goddard,N. Goddard,#32CD32,1
Charles Sutton,C. Sutton,#32CD32,1
Alex Lascarides,A. Lascarides,#32CD32,1
Mirella Lapata,M. Lapata,#32CD32,1
Simon King,S. King,#d3d3d3,1
Taku Komura,T. Komura,#ffc0cb,1
Julian Bradfield,J. Bradfield,#d3d3d3,1
Perdita Stevens,P. Stevens,#d3d3d3,1
Shay Cohen,S. Cohen,#32CD32,1
Mark Steedman,M. Steedman,#32CD32,1
Sethu Vijayakumar,S. Vijayakumar,#ffc0cb,1
Michael Herrmann,M. Herrmann,#d3d3d3,0
Dragan Gasevic,D. Gasevic,#d3d3d3,0
Leonid Libkin,L. Libkin,#ffff00,1
Kousha Etessami,K. Etessami,#ffff00,1
Wenfei Fan,W. Fan,#00bfff,1
Vijay Nagarajan,V. Nagarajan,#00bfff,1
Frank Keller,F. Keller,#32CD32,1
Vittorio Ferrari,V. Ferrari,#32CD32,1
Johanna Moore,J. Moore,#32CD32,1
James Cheney,J. Cheney,#00bfff,0
Philip Wadler,P. Wadler,#00bfff,1
Peter Buneman,P. Buneman,#00bfff,1
Malcolm Atkinson,M. Atkinson,#00bfff,1
Paul Anderson,P. Anderson,#d3d3d3,1
Henry Thompson,H. Thompson,#32CD32,0
Paul Schweizer,P. Schweizer,#d3d3d3,0
Alan Smaill,A. Smaill,#d3d3d3,1
Rik Sarkar,R. Sarkar,#00bfff,1
Mahesh Marina,M. Marina,#00bfff,1
Myungjin Lee,M. Lee,#00bfff,1
Christopher Lucas,C. Lucas,#32CD32,0
Richard Mayr,R. Mayr,#ffff00,0
Vijayakrishnan Nagarajan,V. Nagarajan,#d3d3d3,0
Zhibin Li,Z. Li,#ffc0cb,1
Stuart Anderson,S. Anderson,#ffc0cb,1
Austin Tate,A. Tate,#d3d3d3,1
Michael Fourman,M. Fourman,#d3d3d3,1
Simon King,S. King,#ffc0cb,1
Steve Renals,S. Renals,#32CD32,1
Stratis Viglas,S. Viglas,#00bfff,1
Stephen Gilmore,S. Gilmore,#d3d3d3,1
Ian Stark,I. Stark,#d3d3d3,1
Murray Cole,M. Cole,#d3d3d3,1
Robin Hill,R. Hill,#ffc0cb,0
Hiroshi Shimodaira,H. Shimodaira,#d3d3d3,1
Iain Murray,I. Murray,#32CD32,0
Ajitha Rajan,A. Rajan,#00bfff,0
Ian Simpson,I. Simpson,#d3d3d3,0
Christopher Bishop,C. Bishop,#d3d3d3,0
Colin Stirling,C. Stirling,#ffff00,0
Subramanian Ramamoorthy,S. Ramamoorthy,#ffc0cb,1
Boris Grot,B. Grot,#00bfff,1
Robin Hill,R. Hill,#d3d3d3,0
D. Arvind,D. Arvind,#d3d3d3,1
Paul Jackson,P. Jackson,#d3d3d3,0
Igor Goryanin,I. Goryanin,#d3d3d3,0
Alan Bundy,A. Bundy,#32CD32,0
Jacques Fleuriot,J. Fleuriot,#d3d3d3,1
Aggelos Kiayias,A. Kiayias,#00bfff,0
Amos Storkey,A. Storkey,#32CD32,1
Alan Bundy,A. Bundy,#d3d3d3,0
Gordon Plotkin,G. Plotkin,#00bfff,0
Henry Thompson,H. Thompson,#d3d3d3,0
Kami Vaniea,K. Vaniea,#ffc0cb,0
Richard Shillcock,R. Shillcock,#d3d3d3,1
Andrew Gordon,A. Gordon,#00bfff,1
Sebastian Maneth,S. Maneth,#00bfff,0
Iain Murray,I. Murray,#d3d3d3,0
Chris Heunen,C. Heunen,#ffff00,0
Helen Pain,H. Pain,#ffc0cb,0
Elham Kashefi,E. Kashefi,#ffff00,1
Matthias Hennig,M. Hennig,#d3d3d3,0
Donald Sannella,D. Sannella,#d3d3d3,0
Myrto Arapinis,M. Arapinis,#00bfff,0
Paul Patras,P. Patras,#00bfff,0
John Longley,J. Longley,#d3d3d3,0
K. Kalorkoti,K. Kalorkoti,#d3d3d3,0
Matthias Hennig,M. Hennig,#d3d3d3,0
Barbara Webb,B. Webb,#ffc0cb,0
Lee Eccleston,L. Eccleston,#d3d3d3,0
Kenneth Heafield,K. Heafield,#32CD32,0
Mary Cryan,M. Cryan,#d3d3d3,0
James Cheney,J. Cheney,#d3d3d3,0
Paul Jackson,P. Jackson,#d3d3d3,0
Robert Fisher,R. Fisher,#d3d3d3,0
