name,abbrv,color,coauthored
Liming Cai,L. Cai,#ffc0cb,0
Lakshmish Ramaswamy,L. Ramaswamy,#00bfff,1
Khaled Rasheed,K. Rasheed,#d3d3d3,1
John Miller,J. Miller,#d3d3d3,1
Krys Kochut,K. Kochut,#d3d3d3,1
Kang Li,K. Li,#00bfff,1
Suchendra Bhandarkar,S. Bhandarkar,#32CD32,1
Thiab Taha,T. Taha,#d3d3d3,0
Ismailcem Arpinar,I. Arpinar,#32CD32,1
Walter Potter,W. Potter,#d3d3d3,0
Maria Hybinette,M. Hybinette,#d3d3d3,1
Prashant Doshi,P. Doshi,#32CD32,1
Hamid Arabnia,H. Arabnia,#d3d3d3,1
Kyu Lee,K. Lee,#00bfff,0
Tianming Liu,T. Liu,#32CD32,1
Shannon Quinn,S. Quinn,#32CD32,1
Shelby Funk,S. Funk,#d3d3d3,0
Roberto Perdisci,R. Perdisci,#00bfff,1
