name,abbrv,color,coauthored
Peter Linington,P. Linington,#d3d3d3,0
Ian Utting,I. Utting,#d3d3d3,1
Michael Kölling,M. Kölling,#d3d3d3,1
Sally Fincher,S. Fincher,#d3d3d3,1
Laura Bocchi,L. Bocchi,#d3d3d3,0
Mark Batty,M. Batty,#00bfff,1
Scott Owens,S. Owens,#00bfff,1
Eerke Boiten,E. Boiten,#d3d3d3,0
David Chadwick,D. Chadwick,#d3d3d3,1
Rogério de Lemos,R. de Lemos,#d3d3d3,1
Michael Kampouridis,M. Kampouridis,#d3d3d3,1
Fernando Otero,F. Otero,#d3d3d3,1
Alex Freitas,A. Freitas,#ffc0cb,1
Janet Carter,J. Carter,#d3d3d3,0
Gerald Tripp,G. Tripp,#d3d3d3,0
Budi Arief,B. Arief,#00bfff,0
Marek Grzes,M. Grzes,#d3d3d3,0
Colin Johnson,C. Johnson,#ffc0cb,1
Simon Thompson,S. Thompson,#d3d3d3,1
Peter Welch,P. Welch,#d3d3d3,1
Frank Wang,F. Wang,#00bfff,1
Dominique Chu,D. Chu,#d3d3d3,1
Matteo Migliavacca,M. Migliavacca,#00bfff,1
Ian McLoughlin,I. McLoughlin,#d3d3d3,0
David Barnes,D. Barnes,#d3d3d3,1
Andy King,A. King,#ffff00,0
John Crawford,J. Crawford,#d3d3d3,0
Julio Castro,J. Castro,#d3d3d3,0
Olaf Chitil,O. Chitil,#00bfff,0
Stefan Kahrs,S. Kahrs,#d3d3d3,0
Ramaswamy Palaniappan,R. Palaniappan,#d3d3d3,0
Maria Christakis,M. Christakis,#00bfff,0
Andrew Runnalls,A. Runnalls,#d3d3d3,0
Anna Jordanous,A. Jordanous,#d3d3d3,0
Peter Rodgers,P. Rodgers,#d3d3d3,1
Dominic Orchard,D. Orchard,#00bfff,0
Fred Barnes,F. Barnes,#d3d3d3,1
Srivas Chennu,S. Chennu,#d3d3d3,1
Howard Bowman,H. Bowman,#d3d3d3,1
Richard Jones,R. Jones,#d3d3d3,0
Carlos Pérez-Delgado,C. Pérez-Delgado,#d3d3d3,0
Radu Grigore,R. Grigore,#00bfff,0
Tim Hopkins,T. Hopkins,#d3d3d3,0
