name,abbrv,color,coauthored
Paulo Veríssimo,P. Veríssimo,#00bfff,0
Leon van der Torre,L. van der Torre,#32CD32,1
Pierre Kelsen,P. Kelsen,#d3d3d3,1
Alex Biryukov,A. Biryukov,#00bfff,0
Franck Leprévost,F. Leprévost,#d3d3d3,0
Sjouke Mauw,S. Mauw,#00bfff,1
Peter Ryan,P. Ryan,#00bfff,1
Björn Ottersten,B. Ottersten,#32CD32,0
Yves Le Traon,Y. Le Traon,#00bfff,1
Lionel Briand,L. Briand,#00bfff,1
Volker Müller,V. Müller,#d3d3d3,0
Denis Zampuniéris,D. Zampuniéris,#d3d3d3,0
Nicolas Guelfi,N. Guelfi,#d3d3d3,1
Christoph Schommer,C. Schommer,#d3d3d3,0
Jürgen Sachau,J. Sachau,#d3d3d3,0
Jean-Sébastien Coron,J. Coron,#ffff00,0
Pascal Bouvry,P. Bouvry,#d3d3d3,1
Raymond Bisdorff,R. Bisdorff,#d3d3d3,1
Thomas Engel,T. Engel,#00bfff,1
Ulrich Sorger,U. Sorger,#d3d3d3,1
Nicolas Navet,N. Navet,#d3d3d3,0
Steffen Rothkugel,S. Rothkugel,#d3d3d3,0
