name,abbrv,color,coauthored
Anna Rumshisky,A. Rumshisky,#32CD32,0
Byung Kim,B. Kim,#d3d3d3,0
Wenjin Zhou,W. Zhou,#d3d3d3,0
Fred Martin,F. Martin,#d3d3d3,0
Sirong Lin,S. Lin,#d3d3d3,0
Benyuan Liu,B. Liu,#00bfff,1
Xinwen Fu,X. Fu,#00bfff,1
Jie Wang,J. Wang,#00bfff,1
Cindy Chen,C. Chen,#00bfff,1
Byung-Guk Kim,B. Kim,#d3d3d3,1
Tingjian Ge,T. Ge,#00bfff,1
Jesse Heines,J. Heines,#32CD32,0
David Adams,D. Adams,#d3d3d3,0
Karen Daniels,K. Daniels,#d3d3d3,0
Guanling Chen,G. Chen,#ffc0cb,1
Yu Cao,Y. Cao,#00bfff,1
Haim Levkowitz,H. Levkowitz,#ffc0cb,0
Jay McCarthy,J. McCarthy,#32CD32,0
Georges Grinstein,G. Grinstein,#ffc0cb,0
Holly Yanco,H. Yanco,#d3d3d3,0
