name,abbrv,color,coauthored
Trevor Cohn,T. Cohn,#32CD32,1
Steven Bird,S. Bird,#32CD32,1
Timothy Baldwin,T. Baldwin,#32CD32,1
Karin Verspoor,K. Verspoor,#32CD32,1
Kotagiri Ramamohanarao,K. Ramamohanarao,#32CD32,1
Rajkumar Buyya,R. Buyya,#00bfff,1
Aaron Harwood,A. Harwood,#d3d3d3,1
Michael Kirley,M. Kirley,#d3d3d3,1
Christopher Leckie,C. Leckie,#32CD32,1
Shanika Karunasekera,S. Karunasekera,#32CD32,1
Alistair Moffat,A. Moffat,#32CD32,1
Andrew Turpin,A. Turpin,#32CD32,1
Anthony Wirth,A. Wirth,#32CD32,1
Justin Zobel,J. Zobel,#32CD32,1
Peter Schachte,P. Schachte,#32CD32,1
Harald Søndergaard,H. Søndergaard,#ffff00,1
Peter Stuckey,P. Stuckey,#32CD32,1
Vanessa Teague,V. Teague,#d3d3d3,1
Greg Wadley,G. Wadley,#ffc0cb,1
Reeva Lederman,R. Lederman,#d3d3d3,1
Jenny Waycott,J. Waycott,#ffc0cb,1
Martin Gibbs,M. Gibbs,#ffc0cb,0
Wally Smith,W. Smith,#ffc0cb,1
Lars Kulik,L. Kulik,#ffc0cb,1
Frank Vetere,F. Vetere,#ffc0cb,1
Kathleen Gray,K. Gray,#d3d3d3,1
Adrian Pearce,A. Pearce,#32CD32,1
Tim Miller,T. Miller,#32CD32,1
Liz Sonenberg,L. Sonenberg,#32CD32,1
Nir Lipovetzky,N. Lipovetzky,#32CD32,1
Egemen Tanin,E. Tanin,#00bfff,1
Parampalli Udaya,P. Udaya,#d3d3d3,1
Gil Tidhar,G. Tidhar,#d3d3d3,1
Graeme Shanks,G. Shanks,#d3d3d3,1
Sherah Kurnia,S. Kurnia,#d3d3d3,1
Sean Maynard,S. Maynard,#d3d3d3,1
Atif Ahmad,A. Ahmad,#d3d3d3,1
Christoph Breidbach,C. Breidbach,#d3d3d3,0
Toby Murray,T. Murray,#00bfff,0
Antonette Mendoza,A. Mendoza,#d3d3d3,1
Shanton Chang,S. Chang,#ffc0cb,1
Rachelle Bosua,R. Bosua,#d3d3d3,1
Heidi Tscherning,H. Tscherning,#d3d3d3,1
Rui Zhang,R. Zhang,#00bfff,1
James Bailey,J. Bailey,#32CD32,1
Jianzhong Qi,J. Qi,#00bfff,1
Jan Schröder,J. Schröder,#ffc0cb,0
Richard Sinnott,R. Sinnott,#d3d3d3,0
Martin Gibbs,M. Gibbs,#d3d3d3,0
