name,abbrv,color,coauthored
Qiaozhu Mei,Q. Mei,#32CD32,0
Marios Papaefthymiou,M. Papaefthymiou,#00bfff,1
Thomas Wenisch,T. Wenisch,#00bfff,1
Jia Deng,J. Deng,#32CD32,1
Rada Mihalcea,R. Mihalcea,#32CD32,1
Jacob Abernethy,J. Abernethy,#32CD32,1
Ronald Dreslinski,R. Dreslinski,#00bfff,1
Reetuparna Das,R. Das,#00bfff,1
Satish Narayanasamy,S. Narayanasamy,#00bfff,1
Trevor Mudge,T. Mudge,#00bfff,1
David Blaauw,D. Blaauw,#00bfff,1
Scott Mahlke,S. Mahlke,#00bfff,1
Jason Mars,J. Mars,#00bfff,1
Lingjia Tang,L. Tang,#00bfff,1
Prabal Dutta,P. Dutta,#00bfff,1
Michael Wellman,M. Wellman,#32CD32,1
Grant Schoenebeck,G. Schoenebeck,#ffff00,1
Edmund Durfee,E. Durfee,#32CD32,1
Satinder Singh,S. Singh,#32CD32,1
Kang Shin,K. Shin,#00bfff,1
Zhuoqing Mao,Z. Mao,#00bfff,1
Gregory Wakefield,G. Wakefield,#d3d3d3,1
David Kieras,D. Kieras,#ffc0cb,1
Harsha Madhyastha,H. Madhyastha,#00bfff,0
Mosharaf Chowdhury,M. Chowdhury,#00bfff,0
Todd Austin,T. Austin,#00bfff,1
Valeria Bertacco,V. Bertacco,#00bfff,1
Kevin Fu,K. Fu,#00bfff,1
Igor Markov,I. Markov,#00bfff,1
John Laird,J. Laird,#32CD32,0
Seth Pettie,S. Pettie,#ffff00,1
Demosthenis Teneketzis,D. Teneketzis,#d3d3d3,1
Mingyan Liu,M. Liu,#00bfff,1
Stéphane Lafortune,S. Lafortune,#00bfff,1
Jason Corso,J. Corso,#32CD32,0
Daniel Romero,D. Romero,#d3d3d3,0
Odest Jenkins,O. Jenkins,#ffc0cb,0
Danai Koutra,D. Koutra,#32CD32,1
Walter Lasecki,W. Lasecki,#ffc0cb,1
Alfred Hero,A. Hero,#32CD32,1
Peter Chen,P. Chen,#00bfff,1
Jason Flinn,J. Flinn,#00bfff,1
Zeeshan Syed,Z. Syed,#32CD32,1
Brian Noble,B. Noble,#00bfff,1
Atul Prakash,A. Prakash,#00bfff,1
J. Halderman,J. Halderman,#00bfff,1
Sugih Jamin,S. Jamin,#00bfff,0
Emily Provost,E. Provost,#32CD32,0
Daniel Atkins,D. Atkins,#00bfff,0
Michael Cafarella,M. Cafarella,#00bfff,1
Barzan Mozafari,B. Mozafari,#00bfff,1
Elliot Soloway,E. Soloway,#d3d3d3,0
Jieping Ye,J. Ye,#32CD32,0
Martin Strauss,M. Strauss,#ffff00,0
Honglak Lee,H. Lee,#32CD32,1
H. Jagadish,H. Jagadish,#00bfff,1
Karem Sakallah,K. Sakallah,#00bfff,1
Kevin Compton,K. Compton,#d3d3d3,1
Chris Peikert,C. Peikert,#ffff00,0
Edwin Olson,E. Olson,#ffc0cb,0
Yaoyun Shi,Y. Shi,#ffff00,1
Pinaki Mazumder,P. Mazumder,#d3d3d3,0
John Hayes,J. Hayes,#00bfff,1
Martha Pollack,M. Pollack,#32CD32,1
Benjamin Kuipers,B. Kuipers,#ffc0cb,1
Quentin Stout,Q. Stout,#00bfff,0
Manos Kapritsos,M. Kapritsos,#00bfff,0
Mark Ackerman,M. Ackerman,#ffc0cb,0
Satinder Baveja,S. Baveja,#32CD32,0
Jenna Wiens,J. Wiens,#32CD32,0
