name,color
Marios C. Papaefthymiou,#00bfff
Thomas F. Wenisch,#00bfff
Jia Deng,#32CD32
Rada Mihalcea,#32CD32
Jacob D. Abernethy,#32CD32
Ronald G. Dreslinski,#00bfff
Reetuparna Das,#00bfff
Scott A. Mahlke,#00bfff
David Blaauw,#00bfff
Prabal Dutta,#00bfff
Trevor N. Mudge,#00bfff
Lingjia Tang,#00bfff
Jason Mars,#00bfff
Satish Narayanasamy,#00bfff
Michael P. Wellman,#32CD32
Satinder P. Singh,#32CD32
Edmund H. Durfee,#32CD32
Grant Schoenebeck,#ffff00
Kang G. Shin,#00bfff
Zhuoqing Morley Mao,#00bfff
Gregory H. Wakefield,#d3d3d3
David E. Kieras,#ffc0cb
Kevin Fu,#00bfff
John E. Laird,#32CD32
Seth Pettie,#ffff00
Todd M. Austin,#00bfff
Valeria Bertacco,#00bfff
Demosthenis Teneketzis,#d3d3d3
Mingyan Liu,#00bfff
Stéphane Lafortune,#00bfff
Daniel Romero,#d3d3d3
Danai Koutra,#32CD32
Alfred O. Hero III,#32CD32
Walter S. Lasecki,#ffc0cb
Peter M. Chen,#00bfff
Jason Flinn,#00bfff
Zeeshan Syed,#32CD32
Brian D. Noble,#00bfff
Atul Prakash,#00bfff
J. Alex Halderman,#00bfff
Igor L. Markov,#00bfff
Michael J. Cafarella,#00bfff
Barzan Mozafari,#00bfff
Honglak Lee,#32CD32
H. V. Jagadish,#00bfff
Karem A. Sakallah,#00bfff
Kevin J. Compton,#d3d3d3
Yaoyun Shi,#ffff00
Pinaki Mazumder,#d3d3d3
John P. Hayes,#00bfff
Martha E. Pollack,#32CD32
Benjamin Kuipers,#ffc0cb
Quentin F. Stout,#00bfff
