name,abbrv,color,coauthored
Eric Van Wyk,E. Van Wyk,#ffc0cb,1
Maria Gini,M. Gini,#32CD32,1
Mats Heimdahl,M. Heimdahl,#00bfff,1
Anand Tripathi,A. Tripathi,#d3d3d3,0
Volkan Isler,V. Isler,#ffc0cb,1
Ravi Janardan,R. Janardan,#32CD32,1
Nikolaos Papanikolopoulos,N. Papanikolopoulos,#ffc0cb,1
Paul Schrater,P. Schrater,#32CD32,1
Daniel Boley,D. Boley,#32CD32,1
Arindam Banerjee,A. Banerjee,#32CD32,1
Svetlana Yarosh,S. Yarosh,#ffc0cb,1
Loren Terveen,L. Terveen,#ffc0cb,1
Pen-Chung Yew,P. Yew,#00bfff,1
Antonia Zhai,A. Zhai,#00bfff,1
Stephen McCamant,S. McCamant,#00bfff,1
Rahul Narain,R. Narain,#ffc0cb,1
Stephen Guy,S. Guy,#ffc0cb,1
Victoria Interrante,V. Interrante,#ffc0cb,0
Shashi Shekhar,S. Shekhar,#00bfff,1
Mohamed Mokbel,M. Mokbel,#00bfff,1
Vipin Kumar,V. Kumar,#32CD32,1
Rui Kuang,R. Kuang,#ffc0cb,1
Jaideep Srivastava,J. Srivastava,#32CD32,1
Joseph Konstan,J. Konstan,#ffc0cb,1
Daniel Keefe,D. Keefe,#ffc0cb,1
John Carlis,J. Carlis,#ffc0cb,1
Nicholas Hopper,N. Hopper,#00bfff,0
David Du,D. Du,#00bfff,1
Tian He,T. He,#00bfff,1
Zhi-Li Zhang,Z. Zhang,#00bfff,1
Junaed Sattar,J. Sattar,#ffc0cb,0
Jon Weissman,J. Weissman,#00bfff,1
Abhishek Chandra,A. Chandra,#00bfff,1
Stergios Roumeliotis,S. Roumeliotis,#ffc0cb,0
Yousef Saad,Y. Saad,#32CD32,0
Gopalan Nadathur,G. Nadathur,#ffff00,0
Haiyi Zhu,H. Zhu,#ffc0cb,0
Dan Knights,D. Knights,#d3d3d3,0
George Karypis,G. Karypis,#32CD32,0
Gary Meyer,G. Meyer,#ffc0cb,0
