name,abbrv,color,coauthored
Ron Alterovitz,R. Alterovitz,#ffc0cb,1
Stephen Pizer,S. Pizer,#32CD32,1
Marc Niethammer,M. Niethammer,#32CD32,1
Jan Prins,J. Prins,#ffc0cb,1
Kevin Jeffay,K. Jeffay,#d3d3d3,0
Ming Lin,M. Lin,#ffc0cb,1
Dinesh Manocha,D. Manocha,#ffc0cb,1
Jack Snoeyink,J. Snoeyink,#ffc0cb,1
Tamara Berg,T. Berg,#32CD32,1
Vladimir Jojic,V. Jojic,#ffc0cb,1
Jan-Michael Frahm,J. Frahm,#32CD32,1
Fabian Monrose,F. Monrose,#00bfff,1
Michael Reiter,M. Reiter,#00bfff,1
P. Stotts,P. Stotts,#d3d3d3,0
Mohit Bansal,M. Bansal,#32CD32,1
David Plaisted,D. Plaisted,#d3d3d3,0
Prasun Dewan,P. Dewan,#00bfff,0
Donald Porter,D. Porter,#00bfff,0
Montek Singh,M. Singh,#00bfff,1
Anselmo Lastra,A. Lastra,#ffc0cb,1
Henry Fuchs,H. Fuchs,#ffc0cb,1
David Stotts,D. Stotts,#d3d3d3,0
Sanjoy Baruah,S. Baruah,#00bfff,1
James Anderson,J. Anderson,#00bfff,1
Leonard McMillan,L. McMillan,#32CD32,1
Greg Welch,G. Welch,#ffc0cb,1
Ketan Mayer-Patel,K. Mayer-Patel,#d3d3d3,1
Cynthia Sturton,C. Sturton,#00bfff,1
Stanley Ahalt,S. Ahalt,#d3d3d3,1
Frederick Brooks,F. Brooks,#ffc0cb,0
Gary Bishop,G. Bishop,#d3d3d3,1
Jasleen Kaur,J. Kaur,#00bfff,0
Alexander Berg,A. Berg,#32CD32,1
Michael Fern,M. Fern,#d3d3d3,0
S. Nirjon,S. Nirjon,#00bfff,0
