name,abbrv,color,coauthored
Vijay Kumar,V. Kumar,#ffc0cb,1
Insup Lee,I. Lee,#00bfff,1
Camillo Taylor,C. Taylor,#ffc0cb,1
Daniel Koditschek,D. Koditschek,#ffc0cb,1
Kostas Daniilidis,K. Daniilidis,#32CD32,1
Jean Gallier,J. Gallier,#ffc0cb,1
Daniel Lee,D. Lee,#ffc0cb,1
Nadia Heninger,N. Heninger,#00bfff,0
Benjamin Pierce,B. Pierce,#00bfff,1
Andreas Haeberlen,A. Haeberlen,#00bfff,1
Steve Zdancewic,S. Zdancewic,#00bfff,1
Stephanie Weirich,S. Weirich,#00bfff,1
Sanjeev Khanna,S. Khanna,#ffff00,1
Aaron Roth,A. Roth,#ffff00,1
Michael Kearns,M. Kearns,#32CD32,1
Joseph Devietti,J. Devietti,#00bfff,1
Rajeev Alur,R. Alur,#ffff00,1
Boon Loo,B. Loo,#00bfff,1
Zachary Ives,Z. Ives,#00bfff,1
Matt Blaze,M. Blaze,#00bfff,1
Sampath Kannan,S. Kannan,#ffff00,1
Linh Phan,L. Phan,#00bfff,1
Sudipto Guha,S. Guha,#ffff00,1
Susan Davidson,S. Davidson,#00bfff,1
Val Tannen,V. Tannen,#00bfff,1
Alexander Rakhlin,A. Rakhlin,#32CD32,0
Mitchell Marcus,M. Marcus,#32CD32,1
Lyle Ungar,L. Ungar,#32CD32,1
Mayur Naik,M. Naik,#00bfff,0
Katherine Kuchenbecker,K. Kuchenbecker,#ffc0cb,1
Max Mintz,M. Mintz,#d3d3d3,1
Jianbo Shi,J. Shi,#32CD32,1
Ani Nenkova,A. Nenkova,#32CD32,1
Norman Badler,N. Badler,#ffc0cb,1
Shivani Agarwal,S. Agarwal,#32CD32,0
Vincent Liu,V. Liu,#00bfff,0
Chris Callison-Burch,C. Callison-Burch,#32CD32,0
