name,abbrv,color,coauthored
Malathi Veeraraghavan,M. Veeraraghavan,#00bfff,0
Lu Feng,L. Feng,#ffc0cb,0
Andrew Grimshaw,A. Grimshaw,#d3d3d3,1
Marty Humphrey,M. Humphrey,#00bfff,1
Quanquan Gu,Q. Gu,#32CD32,1
Hongning Wang,H. Wang,#32CD32,1
Kamin Whitehouse,K. Whitehouse,#00bfff,1
John Knight,J. Knight,#d3d3d3,0
Jack Davidson,J. Davidson,#00bfff,1
Mary Soffa,M. Soffa,#00bfff,1
David Evans,D. Evans,#00bfff,1
Haiying Shen,H. Shen,#00bfff,0
Kai-Wei Chang,K. Chang,#32CD32,0
Vicente Ordonez,V. Ordonez,#32CD32,0
Yanjun Qi,Y. Qi,#ffc0cb,1
Gabriel Robins,G. Robins,#00bfff,1
Kevin Skadron,K. Skadron,#00bfff,1
John Stankovic,J. Stankovic,#00bfff,1
Samira Khan,S. Khan,#00bfff,0
Alfred Weaver,A. Weaver,#d3d3d3,0
Westley Weimer,W. Weimer,#00bfff,1
Connelly Barnes,C. Barnes,#ffc0cb,1
James Cohoon,J. Cohoon,#d3d3d3,0
Madhur Behl,M. Behl,#00bfff,0
Kevin Sullivan,K. Sullivan,#d3d3d3,0
Mohammad Mahmoody,M. Mahmoody,#ffff00,0
Baishakhi Ray,B. Ray,#00bfff,0
