name,abbrv,color,coauthored
Wojciech Czerwinski,W. Czerwinski,#ffff00,1
Pawel Parys,P. Parys,#ffff00,1
Michal Pilipczuk,M. Pilipczuk,#ffff00,1
Eryk Kopczynski,E. Kopczynski,#ffff00,1
Slawomir Lasota,S. Lasota,#ffff00,1
Lorenzo Clemente,L. Clemente,#ffff00,1
Filip Murlak,F. Murlak,#ffff00,1
Krzysztof Apt,K. Apt,#d3d3d3,0
Wojciech Rytter,W. Rytter,#ffff00,1
Tomasz Walen,T. Walen,#ffff00,1
Jakub Radoszewski,J. Radoszewski,#ffff00,1
Krzysztof Diks,K. Diks,#d3d3d3,1
Krzysztof Stencel,K. Stencel,#00bfff,1
Marek Cygan,M. Cygan,#ffff00,1
Andrzej Janusz,A. Janusz,#d3d3d3,1
Dominik Slezak,D. Slezak,#00bfff,1
Hung Nguyen,H. Nguyen,#d3d3d3,1
Jan Madey,J. Madey,#d3d3d3,1
Anna Zych,A. Zych,#ffff00,1
Piotr Sankowski,P. Sankowski,#ffff00,1
Marcin Pilipczuk,M. Pilipczuk,#ffff00,1
Norbert Dojer,N. Dojer,#d3d3d3,0
Wojciech Jaworski,W. Jaworski,#d3d3d3,0
Damian Niwinski,D. Niwinski,#d3d3d3,1
Mikolaj Bojanczyk,M. Bojanczyk,#ffff00,1
Michal Skrzypczak,M. Skrzypczak,#ffff00,1
Pawel Urzyczyn,P. Urzyczyn,#d3d3d3,1
Szymon Torunczyk,S. Torunczyk,#ffff00,1
Krzysztof Rzadca,K. Rzadca,#d3d3d3,0
Piotr Wasilewski,P. Wasilewski,#d3d3d3,1
Aleksy Schubert,A. Schubert,#d3d3d3,1
Marcin Kaminski,M. Kaminski,#ffff00,1
Lukasz Kowalik,L. Kowalik,#ffff00,1
Bartek Klin,B. Klin,#ffff00,1
Robert Dabrowski,R. Dabrowski,#d3d3d3,1
Wojciech Plandowski,W. Plandowski,#ffff00,1
Jakub Pawlewicz,J. Pawlewicz,#d3d3d3,0
Andrzej Tarlecki,A. Tarlecki,#d3d3d3,1
Marcin Mucha,M. Mucha,#ffff00,1
Marcin Dziubinski,M. Dziubinski,#d3d3d3,1
Tomasz Kazana,T. Kazana,#ffff00,1
Stefan Dziembowski,S. Dziembowski,#ffff00,1
Andrzej Szalas,A. Szalas,#d3d3d3,1
Linh Nguyen,L. Nguyen,#d3d3d3,1
Barbara Dunin-Keplicz,B. Dunin-Keplicz,#32CD32,1
Jerzy Tyszkiewicz,J. Tyszkiewicz,#00bfff,1
Tomasz Michalak,T. Michalak,#32CD32,1
Jacek Sroka,J. Sroka,#32CD32,1
Oskar Skibski,O. Skibski,#32CD32,1
Miroslaw Kowaluk,M. Kowaluk,#ffff00,0
Marcin Peczarski,M. Peczarski,#d3d3d3,1
Konrad Iwanicki,K. Iwanicki,#d3d3d3,1
