name,abbrv,color,coauthored
Naomi Nishimura,N. Nishimura,#ffff00,1
Alejandro López-Ortiz,A. López-Ortiz,#32CD32,1
Khuzaima Daudjee,K. Daudjee,#00bfff,1
Prabhakar Ragde,P. Ragde,#d3d3d3,1
Jimmy Lin,J. Lin,#32CD32,1
Gordon Cormack,G. Cormack,#32CD32,1
Charles Clarke,C. Clarke,#32CD32,1
Nancy Day,N. Day,#00bfff,1
Joanne Atlee,J. Atlee,#00bfff,1
Michael Godfrey,M. Godfrey,#00bfff,1
Daniel Berry,D. Berry,#ffc0cb,1
Ian McKillop,I. McKillop,#d3d3d3,0
Daniel Vogel,D. Vogel,#ffc0cb,1
Craig Kaplan,C. Kaplan,#ffc0cb,1
Edward Lank,E. Lank,#ffc0cb,1
Shai Ben-David,S. Ben-David,#32CD32,1
Ihab Ilyas,I. Ilyas,#00bfff,1
M. Özsu,M. Özsu,#00bfff,1
Kenneth Salem,K. Salem,#00bfff,1
Grant Weddell,G. Weddell,#32CD32,1
Srinivasan Keshav,S. Keshav,#00bfff,1
Tim Brecht,T. Brecht,#00bfff,1
Anna Lubiw,A. Lubiw,#ffff00,1
Therese Biedl,T. Biedl,#d3d3d3,1
Timothy Chan,T. Chan,#ffff00,1
Urs Hengartner,U. Hengartner,#00bfff,1
Bernard Wong,B. Wong,#00bfff,1
David Toman,D. Toman,#32CD32,1
Richard Trefler,R. Trefler,#ffff00,1
Jonathan Buss,J. Buss,#d3d3d3,0
Christopher Batty,C. Batty,#ffc0cb,0
Lap Lau,L. Lau,#ffff00,0
Eric Blais,E. Blais,#ffff00,0
Martin Karsten,M. Karsten,#00bfff,1
Ian Goldberg,I. Goldberg,#00bfff,1
Raouf Boutaba,R. Boutaba,#00bfff,1
Ming Li,M. Li,#ffc0cb,1
Bin Ma,B. Ma,#ffc0cb,1
Daniel Brown,D. Brown,#d3d3d3,1
Gregor Richards,G. Richards,#00bfff,0
Mark Giesbrecht,M. Giesbrecht,#d3d3d3,1
George Labahn,G. Labahn,#d3d3d3,1
Arne Storjohann,A. Storjohann,#d3d3d3,1
Stephen Watt,S. Watt,#d3d3d3,1
Richard Cleve,R. Cleve,#ffff00,0
Florian Kerschbaum,F. Kerschbaum,#00bfff,0
Pascal Poupart,P. Poupart,#32CD32,1
Peter van Beek,P. van Beek,#32CD32,1
Jesse Hoey,J. Hoey,#32CD32,1
Chrysanne Di Marco,C. Di Marco,#32CD32,1
Robin Cohen,R. Cohen,#32CD32,1
Yuying Li,Y. Li,#32CD32,1
Peter Forsyth,P. Forsyth,#d3d3d3,1
Éric Schost,É. Schost,#ffff00,0
J. Munro,J. Munro,#ffff00,1
Peter Buhr,P. Buhr,#00bfff,1
Lila Kari,L. Kari,#ffff00,0
Douglas Stinson,D. Stinson,#d3d3d3,1
Yaoliang Yu,Y. Yu,#32CD32,0
Richard Mann,R. Mann,#ffc0cb,1
Jeff Orchard,J. Orchard,#d3d3d3,1
John Watrous,J. Watrous,#ffff00,0
Samer Al-Kiswany,S. Al-Kiswany,#00bfff,0
Gladimir Baranoski,G. Baranoski,#d3d3d3,0
Stephen Mann,S. Mann,#ffc0cb,1
Sergey Gorbunov,S. Gorbunov,#ffff00,0
William Cowan,W. Cowan,#ffc0cb,1
Ondrej Lhoták,O. Lhoták,#00bfff,0
Kate Larson,K. Larson,#32CD32,1
Meiyappan Nagappan,M. Nagappan,#00bfff,0
Jeffrey Shallit,J. Shallit,#d3d3d3,1
Semih Salihoglu,S. Salihoglu,#00bfff,0
Edith Law,E. Law,#ffc0cb,1
Edward Chan,E. Chan,#d3d3d3,0
Justin Wan,J. Wan,#d3d3d3,0
Gladimir Baranoski,G. Baranoski,#ffc0cb,0
