name,abbrv,color,coauthored
Suman Banerjee,S. Banerjee,#00bfff,1
Paul Barford,P. Barford,#00bfff,1
Remzi Arpaci-Dusseau,R. Arpaci-Dusseau,#00bfff,1
Aditya Akella,A. Akella,#00bfff,1
Andrea Arpaci-Dusseau,A. Arpaci-Dusseau,#00bfff,1
David Page,D. Page,#32CD32,1
Somesh Jha,S. Jha,#00bfff,1
Eric Bach,E. Bach,#00bfff,1
Jude Shavlik,J. Shavlik,#32CD32,1
Jignesh Patel,J. Patel,#00bfff,1
Jin-Yi Cai,J. Cai,#ffff00,1
Dieter van Melkebeek,D. van Melkebeek,#ffff00,1
Sushmita Roy,S. Roy,#ffc0cb,0
Miron Livny,M. Livny,#00bfff,1
Michael Swift,M. Swift,#00bfff,1
Ben Liblit,B. Liblit,#00bfff,1
Karthikeyan Sankaralingam,K. Sankaralingam,#00bfff,1
Mark Hill,M. Hill,#00bfff,1
David Wood,D. Wood,#00bfff,1
Vikas Singh,V. Singh,#32CD32,1
Grace Wahba,G. Wahba,#32CD32,1
Amos Ron,A. Ron,#00bfff,1
Mark Craven,M. Craven,#32CD32,0
Thomas Reps,T. Reps,#ffff00,1
Michael Ferris,M. Ferris,#d3d3d3,1
Shuchi Chawla,S. Chawla,#ffff00,1
Anthony Gitter,A. Gitter,#ffc0cb,0
Loris D'Antoni,L. D'Antoni,#00bfff,1
AnHai Doan,A. Doan,#00bfff,1
Robert Nowak,R. Nowak,#32CD32,1
Stephen Wright,S. Wright,#32CD32,1
Martina Rau,M. Rau,#ffc0cb,1
Xiaojin Zhu,X. Zhu,#32CD32,0
Aws Albarghouthi,A. Albarghouthi,#ffff00,1
Barton Miller,B. Miller,#00bfff,1
Rebecca Willett,R. Willett,#32CD32,1
Gurindar Sohi,G. Sohi,#00bfff,0
Garvesh Raskutti,G. Raskutti,#32CD32,1
Jeff Linderoth,J. Linderoth,#00bfff,1
Paraschos Koutris,P. Koutris,#00bfff,0
Eftychios Sifakis,E. Sifakis,#ffc0cb,0
Mohit Gupta,M. Gupta,#32CD32,0
Charles Dyer,C. Dyer,#32CD32,0
Michael Gleicher,M. Gleicher,#ffc0cb,1
Bilge Mutlu,B. Mutlu,#ffc0cb,1
Alberto Del Pia,A. Del Pia,#ffff00,0
