name,abbrv,color,coauthored
Gautam Biswas,G. Biswas,#32CD32,1
Xenofon Koutsoukos,X. Koutsoukos,#00bfff,1
Bobby Bodenheimer,B. Bodenheimer,#ffc0cb,1
Douglas Schmidt,D. Schmidt,#32CD32,1
Aniruddha Gokhale,A. Gokhale,#00bfff,1
Julie Adams,J. Adams,#32CD32,1
Gabor Karsai,G. Karsai,#00bfff,1
Janos Sztipanovits,J. Sztipanovits,#00bfff,1
Ákos Lédeczi,Á. Lédeczi,#00bfff,1
Yevgeniy Vorobeychik,Y. Vorobeychik,#32CD32,1
Benoit Dawant,B. Dawant,#d3d3d3,1
Bennett Landman,B. Landman,#32CD32,1
Jules White,J. White,#00bfff,1
Daniel Fleetwood,D. Fleetwood,#d3d3d3,1
Ronald Schrimpf,R. Schrimpf,#d3d3d3,1
Sokrates Pantelides,S. Pantelides,#d3d3d3,1
Taylor Johnson,T. Johnson,#d3d3d3,0
Maithilee Kunda,M. Kunda,#32CD32,0
William Robinson,W. Robinson,#d3d3d3,0
Lloyd Massengill,L. Massengill,#d3d3d3,1
Jeremy Spinrad,J. Spinrad,#d3d3d3,0
Richard Peters,R. Peters,#ffc0cb,1
Kenneth Galloway,K. Galloway,#d3d3d3,1
D. Wilkes,D. Wilkes,#d3d3d3,0
Bharat Bhuva,B. Bhuva,#d3d3d3,0
Philippe Fauchet,P. Fauchet,#d3d3d3,0
Padma Raghavan,P. Raghavan,#00bfff,0
