name,abbrv,color,coauthored
Alex Potanin,A. Potanin,#00bfff,1
David Pearce,D. Pearce,#d3d3d3,1
James Noble,J. Noble,#00bfff,1
Marco Servetto,M. Servetto,#d3d3d3,1
Lindsay Groves,L. Groves,#ffff00,1
Qiang Fu,Q. Fu,#32CD32,1
Marcus Frean,M. Frean,#d3d3d3,1
Ian Welch,I. Welch,#d3d3d3,1
Dean Pemberton,D. Pemberton,#d3d3d3,1
Winston Seah,W. Seah,#ffc0cb,1
Bryan Ng,B. Ng,#ffc0cb,1
Ramesh Rayudu,R. Rayudu,#d3d3d3,1
Stuart Marshall,S. Marshall,#00bfff,1
Mengjie Zhang,M. Zhang,#32CD32,1
Xiaoying Gao,X. Gao,#32CD32,1
Peter Andreae,P. Andreae,#32CD32,1
Ramesh Rayudu,R. Rayudu,#d3d3d3,1
Bing Xue,B. Xue,#00bfff,1
W. Kleijn,W. Kleijn,#32CD32,1
Gang Chen,G. Chen,#d3d3d3,1
Hui Ma,H. Ma,#00bfff,1
John Lewis,J. Lewis,#ffc0cb,1
Taehyun Rhee,T. Rhee,#ffc0cb,1
Christopher Hollitt,C. Hollitt,#d3d3d3,1
Marcus Frean,M. Frean,#d3d3d3,1
Yi Mei,Y. Mei,#d3d3d3,1
Ramesh Rayudu,R. Rayudu,#d3d3d3,1
Thomas Kühne,T. Kühne,#d3d3d3,0
Mo Zareei,M. Zareei,#d3d3d3,1
Ajay Kapur,A. Kapur,#d3d3d3,1
Dale Carnegie,D. Carnegie,#ffc0cb,1
Neil Dodgson,N. Dodgson,#32CD32,0
Zohar Levi,Z. Levi,#ffc0cb,0
Michael Homer,M. Homer,#d3d3d3,1
Kris Bubendorfer,K. Bubendorfer,#00bfff,1
Paul Teal,P. Teal,#d3d3d3,1
Pawel Dmochowski,P. Dmochowski,#d3d3d3,1
David Streader,D. Streader,#d3d3d3,1
Dionysis Athanasopoulos,D. Athanasopoulos,#00bfff,0
