name,color
Daehyun Kim,#00bfff
Partha Pratim Pande,#00bfff
Janardhan Rao Doppa,#32CD32
Bolong Zeng,#d3d3d3
Diane J. Cook,#32CD32
Gina Sprint,#d3d3d3
Bryan Minor,#32CD32
Hassan Ghasemzadeh,#00bfff
Anantharaman Kalyanaraman,#00bfff
Benjamin Belzer,#d3d3d3
Krishnamoorthy Sivakumar,#d3d3d3
Jacob Murray,#d3d3d3
Anurag K. Srivastava,#d3d3d3
David E. Bakken,#d3d3d3
Ali Mehrizi-Sani,#d3d3d3
John Schneider,#d3d3d3
Anamika Dubey,#d3d3d3
Vaithianathan Mani Venkatasubramanian,#d3d3d3
Anjan Bose,#d3d3d3
Shira L. Broschat,#d3d3d3
Assefaw Hadish Gebremedhin,#d3d3d3
Noel Schulz,#d3d3d3
Carl H. Hauser,#00bfff
Behrooz Shirazi,#00bfff
K. C. Wang,#d3d3d3
Sandip Roy,#d3d3d3
Ali Saberi,#d3d3d3
Javier Guerrero,#d3d3d3
Larry Holder,#d3d3d3
Deuk Heo,#d3d3d3
Zhe Dang,#d3d3d3
Chen-Ching Liu,#d3d3d3
Murari Kejariwal,#d3d3d3
José G. Delgado-Frias,#d3d3d3
Saeed Lotfifard,#d3d3d3
Subhanshu Gupta,#d3d3d3
