name,abbrv,color,coauthored
Christopher Gill,C. Gill,#00bfff,1
Kunal Agrawal,K. Agrawal,#00bfff,1
Chenyang Lu,C. Lu,#00bfff,1
Ron Cytron,R. Cytron,#00bfff,1
Roger Chamberlain,R. Chamberlain,#00bfff,0
Yixin Chen,Y. Chen,#32CD32,1
Roch Guérin,R. Guérin,#00bfff,1
Yasutaka Furukawa,Y. Furukawa,#32CD32,0
Tao Ju,T. Ju,#ffc0cb,1
Robert Pless,R. Pless,#32CD32,1
Jonathan Turner,J. Turner,#00bfff,0
Raj Jain,R. Jain,#d3d3d3,0
Sanmay Das,S. Das,#32CD32,0
Benjamin Moseley,B. Moseley,#ffff00,1
Jeremy Buhler,J. Buhler,#00bfff,1
Patrick Crowley,P. Crowley,#00bfff,1
William Richard,W. Richard,#d3d3d3,0
Weixiong Zhang,W. Zhang,#32CD32,1
Michael Brent,M. Brent,#ffc0cb,1
Roger Chamberlain,R. Chamberlain,#d3d3d3,0
Caitlin Kelleher,C. Kelleher,#ffc0cb,0
Roman Garnett,R. Garnett,#32CD32,0
Viktor Gruev,V. Gruev,#d3d3d3,0
