name,affiliation,homepage,scholarid
Andrew Klapper,University of Kentucky,https://www.engr.uky.edu/directory/klapper-andrew,nn3Fx0cAAAAJ
Hector J. Levesque,University of Toronto,https://www.cs.toronto.edu/~hector/,NOSCHOLARPAGE
Ronald Baecker,University of Toronto,http://ron.taglab.ca/,-X6Rj5EAAAAJ
John Mylopoulos,University of Toronto,http://www.cs.toronto.edu/~jm/,mQ6mh20AAAAJ
Radford M. Neal,University of Toronto,http://www.cs.toronto.edu/~radford/,rr8pZoUAAAAJ
Derek G. Corneil,University of Toronto,http://www.cs.toronto.edu/theory/Corneil-bio.htm/,XiTfJCsAAAAJ
W. Bruce Croft,University of Massachusetts Amherst,http://ciir.cs.umass.edu/croft/,ArV74ZMAAAAJ
Jan van den Berg,TU Delft,https://www.tudelft.nl/en/tpm/about-the-faculty/departments/engineering-systems-and-services/people/professors-emeriti/profdrir-j-jan-van-den-berg,p8-kZTAAAAAJ
Richard E. Ladner,University of Washington,http://www.cs.washington.edu/people/faculty/ladner,hgOSI1EAAAAJ
Michael A. Arbib,University of Southern California,http://neuroinformatics.usc.edu/members/dr-michael-a-arbib,it1vhYAAAAAJ
George A. Bekey,University of Southern California,http://www-robotics.usc.edu/~bekey,NOSCHOLARPAGE
Aristides A. G. Requicha,University of Southern California,http://ee.usc.edu/faculty_staff/faculty_directory/requicha.htm,NOSCHOLARPAGE
Larry Smarr,University of California - San Diego,http://lsmarr.calit2.net,oZafLf4AAAAJ
Richard N. Taylor,University of California - Irvine,https://www.ics.uci.edu/~taylor,h9t7KCcAAAAJ
David A. Wood 0001,University of Wisconsin - Madison,http://pages.cs.wisc.edu/~david,UCiXhq4AAAAJ
Mark D. Hill,University of Wisconsin - Madison,http://pages.cs.wisc.edu/~markhill,7lVfIWYAAAAJ
Eliot Moss,University of Massachusetts Amherst,https://people.cs.umass.edu/~moss,yYtaDFUAAAAJ
J. Eliot B. Moss,University of Massachusetts Amherst,https://people.cs.umass.edu/~moss,yYtaDFUAAAAJ
Hezy Yeshurun,Tel Aviv University,https://english.tau.ac.il/profile/hezy,NOSCHOLARPAGE
Yehezkel Yeshurun,Tel Aviv University,https://english.tau.ac.il/profile/hezy,NOSCHOLARPAGE
Yehuda Afek,Tel Aviv University,http://www.cs.tau.ac.il/~afek,pYasE5oAAAAJ
Noga Alon,Tel Aviv University,http://www.tau.ac.il/~nogaa,vOYl40wAAAAJ
Amir Averbuch,Tel Aviv University,http://www.cs.tau.ac.il/~amir1,W5hdNOgAAAAJ
Nachum Dershowitz,Tel Aviv University,http://www.cs.tau.ac.il/~nachumd,NOSCHOLARPAGE
Amos Fiat,Tel Aviv University,http://www.cs.tau.ac.il/~fiat,0MzVIUsAAAAJ
Micha Sharir,Tel Aviv University,http://www.math.tau.ac.il/~michas,NOSCHOLARPAGE
Michael Tarsi,Tel Aviv University,https://en-exact-sciences.tau.ac.il/profile/tarsi,NOSCHOLARPAGE
Amiram Yehudai,Tel Aviv University,http://www.cs.tau.ac.il/~amiramy,NOSCHOLARPAGE
V. Wiktor Marek,University of Kentucky,https://www.cs.uky.edu/~marek,NOSCHOLARPAGE
Victor W. Marek,University of Kentucky,https://www.cs.uky.edu/~marek,NOSCHOLARPAGE
Agnes Hui Chan,Northeastern University,http://www.ccs.neu.edu/home/ahchan,NOSCHOLARPAGE
Harriet J. Fell,Northeastern University,http://www.ccs.neu.edu/home/fell,glFPEWIAAAAJ
Ken Baclawski,Northeastern University,http://www.ccs.neu.edu/home/kenb,Vwi6Ya8AAAAJ
Larry A. Finkelstein,Northeastern University,http://www.ccis.northeastern.edu/people/larry-finkelstein,I4iKZSkAAAAJ
Mitchell Wand,Northeastern University,http://www.ccs.neu.edu/home/wand,Y0E0lsgAAAAJ
Richard Rasala,Northeastern University,http://www.ccs.neu.edu/home/rasala,NOSCHOLARPAGE
Viera K. Proulx,Northeastern University,http://www.ccs.neu.edu/home/vkp,NOSCHOLARPAGE
William D. Clinger,Northeastern University,http://www.ccis.northeastern.edu/people/william-d-clinger,NOSCHOLARPAGE
Robert Moll,University of Massachusetts Amherst,https://www.cics.umass.edu/faculty/directory/moll_robert,NOSCHOLARPAGE
Robert N. Moll,University of Massachusetts Amherst,https://www.cics.umass.edu/faculty/directory/moll_robert,NOSCHOLARPAGE
Thomas H. Cormen,Dartmouth College,http://www.cs.dartmouth.edu/~thc,V5FJ6pIAAAAJ
Neil Immerman,University of Massachusetts Amherst,https://people.cs.umass.edu/~immerman,DbZWZr8AAAAJ
Iris Bahar,Brown University,http://cs.brown.edu/people/irisbahar,kfIj9oYAAAAJ
R. Iris Bahar,Brown University,http://cs.brown.edu/people/irisbahar,kfIj9oYAAAAJ
