name,affiliation,homepage,scholarid,company
A. C. W. Finkelstein,University College London,http://www0.cs.ucl.ac.uk/staff/A.Finkelstein,n8xuCVkAAAAJ,Alan Turing Institute
Aaron Quigley,UNSW,https://aquigley.host.cs.st-andrews.ac.uk,LujyjYoAAAAJ,TBD
Aasheesh Kolli,Pennsylvania State University,https://akolli.github.io/,UcfzOQYAAAAJ,Google
Abhinav Gupta 0001,Carnegie Mellon University,http://www.cs.cmu.edu/~abhinavg/,bqL73OkAAAAJ,TBD
Abutalib Aghayev,Pennsylvania State University,https://agayev.github.io,Kfb6IZ4AAAAJ,Amazon
Akshay Krishnamurthy,University of Massachusetts Amherst,https://www.cics.umass.edu/~akshay/,K0kaNvkAAAAJ,TBD
Alec Jacobson,University of Toronto,http://www.cs.toronto.edu/~jacobson,lSJavJUAAAAJ,TBD
Aleksander Madry,Massachusetts Institute of Technology,https://people.csail.mit.edu/madry,SupjsEUAAAAJ,OpenAI
Alessandro Moschitti,Qatar Computing Research Institute,http://www.qcri.org/our-people/bio?pid=106&amp;par=acc&amp;name=AlessandroMoschitti,vYUDlsEAAAAJ,Amazon
Alexander C. Berg,University of North Carolina,http://acberg.com,jjEht8wAAAAJ,Facebook
Ali Farhadi,University of Washington,https://homes.cs.washington.edu/~ali,jeOFRDsAAAAJ,Xnor.ai
Anand Seetharam,Binghamton University,https://www.binghamton.edu/cs/people/aseetharam.html,gA5qFUYAAAAJ,TBD
Andrea Tagliasacchi,University of Victoria,https://ai.google/research/people/106392/,1RmD-YsAAAAJ,Google AI
Andrea Vedaldi,Oxford University,http://www.robots.ox.ac.uk/~vedaldi/,bRT7t28AAAAJ,Facebook
Andrew W. Moore 0001,Carnegie Mellon University,http://www.cs.cmu.edu/~awm,PbfkKLcAAAAJ,Google
Andrew Warfield,University of British Columbia,http://www.cs.ubc.ca/~andy/,0YpfgJ8AAAAJ,TBD
Andy Gill,University of Kansas,http://www.ittc.ku.edu/csdl/fpg/people/andygill,yJaiqA8AAAAJ,Cerebras
Anima Anandkumar,California Institute of Technology,http://www.cms.caltech.edu/people/anima,bEcLezcAAAAJ,nVidia
Ankit Singla,ETH Zurich,http://people.inf.ethz.ch/asingla,pIoPb7sAAAAJ,Google
