name,orcid
A Min Tjoa,0000-0002-8295-9252
A. Akbari Azirani,0000-0000-0000-0000
A. Akbariazirani,0000-0000-0000-0000
A. Aldo Faisal,0000-0003-0813-7207
A. Antony Franklin,0000-0002-1809-2025
A. B. M. Alim Al Islam,0000-0000-0000-0000
A. B. Siddique 0001,0000-0002-3587-7289
A. Baskar,0000-0000-0000-0000
A. C. Cem Say,0000-0000-0000-0000
A. C. W. Finkelstein,0000-0000-0000-0000
A. Cüneyd Tantug,0000-0000-0000-0000
A. David Marshall,0000-0000-0000-0000
A. E. Eiben,0000-0000-0000-0000
A. Ercüment Çiçek,0000-0001-8613-6619
A. Giray Yaglikçi,0000-0002-9333-6077
A. J. Field,0000-0000-0000-0000
A. J. H. Hidders,0000-0000-0000-0000
A. J. Jansen 0001,0000-0000-0000-0000
A. J. Kfoury,0000-0000-0000-0000
A. Jefferson Offutt,0000-0000-0000-0000
A. John Power,0000-0000-0000-0000
A. K. McIver,0000-0000-0000-0000
A. Lynn Abbott,0000-0000-0000-0000
A. M. A. Hemmatyar,0000-0000-0000-0000
A. Mokhade,0000-0000-0000-0000
A. Murat Ozbayoglu,0000-0000-0000-0000
A. Neil Arnason,0000-0000-0000-0000
A. P. Sarath Chandar,0000-0000-0000-0000
A. P. Vinod 0001,0000-0000-0000-0000
A. Pavan 0001,0000-0003-1665-5266
A. Prasad Sistla,0009-0005-8331-7912
A. Prasad Vinod 0001,0000-0001-9408-1275
A. Robert Calderbank,0000-0000-0000-0000
A. Rupam Mahmood,0000-0000-0000-0000
A. S. M. Hoque,0000-0000-0000-0000
A. S. M. Latiful Hoque,0000-0000-0000-0000
A. S. Madhukumar,0000-0000-0000-0000
A. Selcuk Uluagac,0000-0002-9823-3464
A. Sima Etaner-Uyar,0000-0000-0000-0000
A. T. Burrell,0000-0000-0000-0000
A. T. Chamillard,0000-0000-0000-0000
A. Taufiq Asyhari,0000-0002-3023-8285
A. Taylan Cemgil,0000-0000-0000-0000
A. Th. Schreiber,0000-0000-0000-0000
A. Udaya Shankar,0000-0000-0000-0000
A. V. Sreejith,0000-0000-0000-0000
