name,date
Anna Rumshisky,1508954394.76
Wensheng Zhang 0001,1509001264.12
Ido Tal,1508864250.11
J. Michael Herrmann,1508858441.48
Shai Shalev-Shwartz,1509022503.16
Nelly Condori-Fernández,1509362106.46
Jörg Liebeherr,1508865061.56
Stefano Lonardi,1508927158.68
Brian W. Kernighan,1509168096.00
Joseph S. Coventry,1509033692.78
Jinxiang Chai,1508927215.86
Peter Bodorik,1509364318.57
Gianpolo Cugola,1509033343.76
Robert E. Mercer,1509017291.03
Alex Potanin,1509044671.43
Zhouchen Lin,1509023425.86
Jianying Zhou,1508954633.07
Dimitris Achlioptas,1509169610.90
Avinoam Kolodny,1508894200.05
Stephen S. Intille,1508831574.24
Aman Parnami,1509033377.83
Geoffrey C. Bowker,1509363908.26
Laurent Doyen 0001,1509019030.53
Fengguang Song,1508967322.09
Daehyun Kim,1508872708.95
Rym Zalila-Wenkstern,1509167794.71
Norman C. Hutchinson,1509168395.02
Kenta Nakai,1509025170.48
Erik Frøkjær,1509027220.52
Mark Zhandry,1509169930.61
Rong Ge 0002,1509004271.42
Richard Jay Lipton,1508679291.05
Siddharth Barman,1509020935.51
Swastik Kopparty,1509341895.18
Padmanabhan Rajan,1509017472.86
Huub van de Wetering,1508874659.26
Kien A. Hua,1508877340.16
Gregory Peterson,1508966406.71
Christian Blouin,1509172602.82
Luc Segoufin,1509362401.33
Yong Jae Lee,1509178222.76
Qing Cao,1508878475.63
James S. Collofello,1509363620.00
Marian G. Williams,1509002981.88
Pablo Cesar,1509117194.98
Thierry Gautier,1509027279.66
Naomi Nishimura,1508862606.14
Illah R. Nourbakhsh,1508697168.23
Benjamin Lok,1508953965.40
Ko Nishino,1509175004.24
Wojciech Czerwinski,1509018113.71
Dittaya Wanvarie,1509033349.45
Mark Daley,1509169013.58
Cory Barker,1509168417.02
Martin Glinz,1509028034.45
Ravi Chugh,1509004065.98
Jiasi Chen,1509364333.90
Olivier Danvy,1509018255.31
Scott Kuindersma,1508821642.35
Eric Van Wyk,1508800773.21
Jimmy J. Lin,1508859706.72
Tommy Thorne,1508901384.68
Michael Bedford Taylor,1509364469.48
László Babai,1509341798.70
Jacques Wainer,1509175534.23
Xiaoyan Zhu,1509175727.61
Ewan Klein,1508860983.66
Dinusha Vatsalan,1509032514.56
Michael T. Hallett,1509012693.01
Jidong Xiao,1508879652.84
Daniel Angus,1509033835.13
Marcus Gallagher,1508875043.58
Nader H. Bshouty,1509363651.32
Samik Basu,1508954484.50
Moira C. Norrie,1509364417.05
Mike D. Atkinson,1509033715.32
Ranita Biswas,1509034078.90
Michael B. Dillencourt,1509234352.66
João Miranda Lemos,1509342169.79
Gregory Hooper,1509023752.38
Mingwei Xu,1509027043.65
Alberto Abad,1509016729.13
Emmanuel Agu,1509166298.86
Ronald F. DeMara,1509363965.70
Jacques Fayolle,1509027401.09
Kousha Etessami,1508893159.52
Violet R. Syrotiuk,1509363495.87
Stefan Katzenbeisser 0001,1509177227.36
Xiuli Ma,1509362889.42
Kemafor Ogan,1509363217.13
Shannon D. Blunt,1509172885.26
Hung Q. Ngo 0001,1508938701.23
Robin Dykstra,1509363721.53
Simha Sethumadhavan,1509362776.84
ShuiGuang Deng,1509023244.18
Anupam Chattopadhyay,1509168756.71
P. Thomas Fletcher,1509172501.53
Jack J. Dongarra,1509166317.68
Theoharis Theoharis,1509013447.66
Raghunath Tewari,1509021488.56
Pamela J. Wisniewski,1508915641.72
Zhenhua Liu,1508834410.74
Krzysztof R. Apt,1509023488.93
Bruce M. Maggs,1508921344.06
Nicholas Kalouptsidis,1509364516.51
Mira Gonen,1509117460.55
Carola Wenk,1508954203.03
Yoshihiro Kawahara,1509027395.51
Jun Gao,1509173053.90
Chengjun Liu,1509000388.95
Marios C. Papaefthymiou,1509363885.35
Benjamin Belzer,1509360793.75
E. Allen Emerson,1509362605.07
Subbarao Kambhampati,1509169252.51
Duong Hieu Phan,1509117488.09
Felix Brandt,1509035473.64
Shuangjiu Xiao,1509341965.43
Guido Sanguinetti,1508859464.69
Martin Tompa,1509363103.86
Anand R. Tripathi,1508834753.98
V. Sridhar,1509035370.98
Adriana B. Compagnoni,1509175189.00
Eugene Vasserman,1509172263.18
David Finkel,1509362068.75
Jonathan C. L. Liu,1509362568.41
Ian McKillop,1509363628.39
Hyeong-Ah Choi,1509175602.00
Lucian Ilie,1509018802.74
Amin M. Abbosh,1509024554.03
Uwe Zimmer,1509362833.46
Fillia Makedon,1509168631.60
James T. Kwok,1509076386.51
Candace L. Sidner,1508937279.49
Mauro Negri,1509169517.30
Gregory R. Andrews,1508880419.78
Per Runeson,1509023984.35
Pang-Ning Tan,1508926886.55
Raymond D. Gumb,1509362797.16
Lane A. Hemaspaandra,1508941924.96
Frédéric Gibou,1508828475.74
Noam Hazon,1509044760.34
Yang Wang 0002,1509030211.84
Yang Wang 0003,1509019175.06
Marc Stevens,1509025225.54
Yang Wang 0009,1508822120.81
S. V. Rao,1509179530.21
Hongyan Li,1509029192.50
Rajeev R. Raje,1508965917.08
Felienne Hermans,1509031974.83
Irina V. Biktasheva,1509027908.22
Alan Kaminsky,1509364202.66
Sandy Irani,1509362114.38
Chi-Wing Fu,1509360669.78
Carsten Schürmann,1509363842.93
David A. Basin,1508898809.33
Luis A. F. M. Ferreira,1509168880.83
Tatsuya Harada,1509013415.12
Juju Feng,1509363147.59
Jiang Ming,1509172946.29
Daniele Mazzei,1509014352.53
Dean C. Barratt,1509017397.98
Xinchao Wang,1508954361.63
Martha A. Kim,1508696422.69
Alfredo Goldman,1509044876.27
Tet Hin Yeap,1509363290.27
Lu Wang,1508831739.81
Daniel Vogel 0001,1508862827.52
Joyce C. Ho,1508918933.20
Andrzej Janusz,1509167686.92
Adrienne Decker,1509166541.96
Jan C. van Gemert,1509077482.90
Kay A. Robbins,1508881128.78
Fei Wu 0001,1509027039.61
Hye-Young Paik,1509035379.87
Jie Zhang 0002,1509032212.11
Tom Chandler,1509033733.08
Rob Meredith,1509029658.73
Barbara J. Grosz,1509341165.51
Jiebo Luo,1509173409.83
Brittany A. Duncan,1509121571.23
Sean Bechhofer,1509032958.88
Chin-Wan Chung,1509362870.49
Peter Winkler 0001,1509399069.27
Ajit Rajwade,1509076422.00
Martin Ester,1509021152.68
Richard P. Brent,1508871545.76
Marc Fischlin,1509031819.08
Benjamin Goldberg,1508825962.37
Zhao Wang,1508867564.14
Siddhartha Sarma,1509023628.27
Amos Azaria,1509029811.95
Charles E. McDowell,1508954699.18
Martin Henz,1509117153.89
Gautam Barua,1509175549.05
Tianfang Yao,1509364218.70
Anne-Claire Legrand,1509341972.38
Andy Cockburn,1509033524.02
Ruzica Piskac,1508954485.11
Philip K. McKinley,1509169497.35
Gil Segev,1509033651.21
Chiou-Shann Fuh,1509363291.16
David A. Naumann,1509172187.89
Errol L. Lloyd,1509166443.76
Sanjay V. Rajopadhye,1508920657.86
Andreas Podelski,1509076343.42
Aruna Tiwari,1509032475.45
Zhen Xiao,1508868003.43
Ilario Filippini,1509024753.16
Peter F. Linington,1509363211.57
Falk Schreiber,1509026532.97
Björn Franke,1508858425.84
Delfina Malandrino,1509175168.74
Ana Paiva,1509117733.10
Sanja Fidler,1508901853.93
Rong Ge 0001,1508916396.74
David A. McAllester,1508921995.76
Jan Madey,1509342181.81
Funda Ergün,1508929686.14
Minsoo Rhu,1509018206.62
Donald Kossmann,1509363561.48
Timothy W. Bickmore,1508831700.07
Michael F. P. O'Boyle,1509360723.95
Manish Parashar,1508825825.88
Guoliang Xing,1508954370.85
Rainer Groh,1509026826.49
Liming Cai,1509001744.07
Venkatesh Choppella,1509029466.19
Juliana Freitag Borin,1508879599.44
Ronald G. Dreslinski,1508735022.82
Ely Porat,1509025051.01
P. K. Srijith,1509168871.07
Esfandiar Haghverdi,1509341869.11
Raj Acharya,1508803097.59
Prasad Kulkarni,1509175333.39
Cuntai Guan,1509021656.89
Ron Alterovitz,1509167656.03
Wolfram Kahl,1509363290.76
Siming Liu,1508954688.77
Wei-Tek Tsai,1509364211.85
Moisés Simões Piedade,1509362086.46
Robbert Krebbers,1509025545.25
Murat Kantarcioglu,1509168002.01
Adam Lopez,1508865712.64
Yiu-Kai Ng,1508872663.27
Shuiwang Ji,1508966143.34
Feida Zhu,1509035886.32
Mema Roussopoulos,1509035597.42
Ian Holyer,1509341998.67
Dae Young Kim,1509035373.86
Agustín Gravano,1508875457.25
Jian Peng 0001,1508954714.56
Abdelaziz Bouras,1509026696.32
Debin Gao,1509034146.80
Shai Ben-David,1508899163.16
Mohsen Ghaffari,1508898384.80
Bolong Zeng,1509001174.89
Stathes Hadjiefthymiades,1509363591.26
Arnaldo Vieira Moura,1509172098.24
K. Selçuk Candan,1508941959.36
Ammar Huneiti,1509029140.16
S. Muthukrishnan,1508821366.64
Daniel Zappala,1508941376.67
Dirk Grunwald,1508911359.15
I. V. Ramakrishnan,1509364526.03
Changhee Jung,1508954583.75
Evan Drumwright,1509121674.44
Min Yao,1509179546.27
Guido Araujo,1509117314.88
Adams Wai-Kin Kong,1509167716.82
Hamid Zarrabi-Zadeh,1509168158.58
Dorothea Blostein,1509169871.24
Fahiem Bacchus,1508872577.45
John Darlington,1508894775.99
Varmo Vene,1509033039.02
Christopher D. Gill,1509174494.83
Luqi,1509172717.19
Rüdiger L. Urbanke,1508893120.15
Michael P. Wellman,1508717086.51
Donald P. Greenberg,1509342153.84
Zachary O. Toups,1508924044.14
Mohamed Zahran,1508828082.42
Cynthia Matuszek,1508922172.43
Ahmed K. Elmagarmid,1508697259.75
Donghui Wang,1509117680.57
Timothy J. Hickey,1509167893.42
Mathieu Hébert,1508880169.70
Pokhar Mal Jat,1509363170.70
Michael Anthony Bauer,1509342277.16
Joachim M. Buhmann,1508893051.26
Venkat Anantharam,1509362745.87
Gerhard Weber,1509029357.99
C. Greg Plaxton,1509169291.81
S. Akshay,1509021066.11
Juha Karhunen,1509025348.09
Ihab F. Ilyas,1508897456.53
Gagan Garg,1509023815.61
Pekka Orponen,1508872364.90
Carlos Beltrán Almeida,1509342052.79
Benoît Libert,1509020417.32
Diane J. Cook,1508954529.19
Vinod Ganapathy,1508873620.25
Patrick J. Flynn,1508966526.78
Lakshmish Ramaswamy,1508954587.56
James J. Little,1508866400.04
Kamran Sedig,1509033879.72
Frank Tip,1508832255.65
Tim Menzies,1508943690.33
Yuho Jin,1508966519.40
Maya Ramanath,1509033274.77
Gregory H. Wakefield,1509363329.96
John J. Metzner,1509362436.26
Sandiway Fong,1509341731.37
Eric P. Xing,1508718253.68
Peter Arbenz,1508893483.46
Masashi Sugiyama,1508880030.47
Hans P. Reiser,1509030476.54
Anupama Krishnan,1509020450.52
Nima Honarmand,1508828338.10
John Wawrzynek,1509362649.43
Huan Long,1509026713.14
Robert J. Sheehan,1509029321.30
Trevor Cohn,1509032916.12
Søren Ingvor Olsen,1509166236.21
Roel Vertegaal,1509033131.94
Tomasz Imielinski,1508796912.84
Marleen de Bruijne,1509023921.17
Valerio Pascucci,1508800628.73
Nick Koudas,1508897566.25
Martijn Stam,1509031615.53
Tze-Yun Leong,1509017637.88
Dino Mandrioli,1509167937.14
Laura Bocchi,1509171926.05
Chiara Francalanci,1509234199.31
Stephen Gould,1509033526.65
Vijay Kumar 0001,1509001497.57
Qian-Ping Gu,1509362729.38
Leon van der Torre,1509026639.97
Mark Dredze,1508954359.63
Wim van Dam,1508831820.74
Edmund M. Clarke,1508718617.93
Chiranjoy Chattopadhyay,1509024108.52
Andrea Grimes Parker,1508802392.19
Mohammed Bennamoun,1509167996.57
Sean B. Holden,1509342191.86
Kyriakos Mouratidis,1509032131.15
David Scuse,1509032357.19
Gopal Gupta,1509177535.98
Wojciech Lipinski,1509341061.75
Jiajun Bu,1509175452.07
Chintan Patel,1508954583.19
Harry G. Mairson,1509362458.10
Gita Reese Sukthankar,1509362677.85
Radu Nicolescu,1509362427.67
Brian D. Ziebart,1508928691.65
Xiaodi Wu,1508954134.47
Sukumar Nandi,1509024113.90
Shaojie Zhang,1508941395.14
Maurice F. Fallon,1508860221.09
Horácio C. Neto,1509026354.78
Douglas Stebila,1509017143.45
Tandy J. Warnow,1508716348.70
Peyman Afshani,1509019027.19
Gerald Penn,1508863189.78
Chiranjib Bhattacharyya,1509362447.90
Wail Gueaieb,1509027086.37
Qiang Fu,1509021815.33
Pramod Bhatotia,1508860821.01
Anna Zych,1509172747.03
Jun-yong Noh,1509341918.69
Frédéric Desprez,1509024256.16
Anne Rogers,1509169608.44
Antonio Carzaniga,1509363355.50
